0,P,0.78
9,12,P,0.02
7,9,P,0.02
7,13,P,0.02
13,12,P,0.02
7,21,P,0.01
7,10,P,0.01
5,P,0.01
20,P,0.01
14,P,0.01
11,P,0.01
1,P,0.0
