16,P,0.26
14,P,0.26
0,1,P,0.15
15,P,0.06
6,P,0.04
5,P,0.04
0,12,P,0.04
3,P,0.03
0,13,P,0.03
0,11,P,0.02
0,9,P,0.01
0,8,P,0.01
0,7,P,0.01
0,4,P,0.01
0,2,P,0.01
0,10,P,0.01
