0,P,0.63
12,1,P,0.13
12,16,P,0.05
16,18,P,0.04
12,17,P,0.03
12,15,P,0.03
11,18,1,P,0.02
17,18,2,P,0.01
17,18,15,P,0.01
13,18,15,P,0.01
12,19,P,0.01
12,14,P,0.01
11,18,15,P,0.01
11,17,18,P,0.01
11,14,18,P,0.0
