algorithm,pBug,pValid,times,precision_avg,recall_avg,steps,tests_avg,files_avg,bugged_avg,initials,tests
uniform,0,0,10,0.305833333333,0.137583333333,1.3,2.4,14.25,2.95,0.6,2.4
randomForest,0,0,10,0.547416666667,0.276395833333,1.2,5.95,14.25,2.95,1.4,5.95
0.0,0.6,0.0,10,0.7775,0.435908333333,0.9,6.5,14.25,2.95,1.5,6.5
0.1,0.6,0.1,10,0.503416666667,0.290291666667,1.35,3.85,14.25,2.95,1.0,3.85
0.2,0.6,0.2,10,0.25025,0.164,0.5,1.45,14.25,2.95,0.45,1.45
uniform,0,0,20,0.177333333333,0.08675,0.95,2.9,27.2,3.65,1.1,2.9
randomForest,0,0,20,0.498583333333,0.2495375,1.3,11.2,27.2,3.65,2.9,11.2
0.0,0.6,0.0,20,0.57925,0.3402,0.3,10.9,27.2,3.65,2.5,10.9
0.1,0.6,0.1,20,0.279416666667,0.180125,1.0,5.75,27.2,3.65,1.3,5.75
0.2,0.6,0.2,20,0.077,0.0595,0.45,1.85,27.2,3.65,0.4,1.85
uniform,0,0,30,0.130083333333,0.06795,0.9,5.45,31.85,3.8,0.8,5.45
randomForest,0,0,30,0.501666666667,0.24595,1.35,15.7,31.85,3.8,2.9,15.7
0.0,0.6,0.0,30,0.712583333333,0.39565,0.95,17.9,31.85,3.8,3.1,17.9
0.1,0.6,0.1,30,0.344916666667,0.184575,2.05,10.85,31.85,3.8,1.7,10.85
0.2,0.6,0.2,30,0.147583333333,0.07825,1.9,5.45,31.85,3.8,0.8,5.45
uniform,0,0,40,0.1315,0.0776,1.0,4.9,33.7,3.8,1.05,4.9
randomForest,0,0,40,0.5065,0.297345833333,1.5,18.45,33.7,3.8,4.05,18.45
0.0,0.6,0.0,40,0.726,0.404425,0.3,20.55,33.7,3.8,4.65,20.55
0.1,0.6,0.1,40,0.355,0.19055,2.5,13.05,33.7,3.8,2.55,13.05
0.2,0.6,0.2,40,0.188416666667,0.1036,1.75,8.35,33.7,3.8,1.5,8.35
