0,P,0.9022692298640024
9,P,0.09516120832394107
8,P,9.42190181425159E-4
2,P,9.421901784020763E-4
5,P,3.0873687061863116E-4
1,6,P,8.933358762608013E-5
1,14,P,8.933358762209262E-5
3,6,P,8.933358761780444E-5
6,13,P,2.233339689755164E-5
6,7,P,2.233339671253998E-5
6,12,P,2.2333395593235447E-5
12,14,P,1.3234605574153476E-5
7,14,P,1.323460557399844E-5
1,10,P,7.318207498064485E-6
1,11,P,2.629820390194381E-6
7,10,P,1.2064436297082855E-6
10,12,P,1.2064436296107116E-6
3,4,14,P,8.933358761094917E-7
10,13,P,4.901705686269143E-7
11,12,P,4.0531890256185026E-7
7,11,P,4.0531890238013904E-7
4,13,14,P,2.233339688366878E-7
3,10,14,P,7.318207272286495E-8
11,13,P,7.167987199031339E-8
3,11,14,P,2.6293171699379614E-8
10,13,14,P,1.8295518744485046E-8
11,13,14,P,6.574392051844939E-9
