2,P,0.9495777949494194
1,4,P,0.009495778003795008
1,6,P,0.009495778003793488
1,5,P,0.009495778003369633
3,4,P,0.009495778002913836
0,6,P,0.009495778002913817
9,P,9.915919133858726E-4
0,3,8,P,7.85671565089115E-4
1,8,P,7.77894132682876E-4
3,8,P,2.0841213624293257E-4
4,6,P,9.401760399793854E-5
0,5,10,P,2.37394429353707E-5
4,10,P,2.3504400990044396E-5
0,5,7,P,1.4067819262997723E-5
4,7,P,1.392853392541429E-5
6,8,P,7.70192210577133E-6
0,8,10,P,1.9447351534596074E-6
8,10,P,5.158716182471547E-7
7,8,P,3.0570170209273536E-7
5,8,10,P,1.9254702599421543E-8
