1,P,0.9013703350940883
2,P,0.09506640136108774
13,P,0.0015584655960834057
16,P,5.106780152656247E-4
4,P,5.106780021292245E-4
5,P,2.3088379584015526E-4
3,12,P,1.4776562954891068E-4
3,11,P,1.4776562954231499E-4
8,12,P,1.4776562953522195E-4
14,P,1.240197574899306E-4
3,17,P,3.694140734902281E-5
3,10,P,3.694140734902281E-5
3,18,P,3.694140706636756E-5
12,19,P,3.694140706636756E-5
3,6,P,2.189120433750508E-5
3,7,P,1.558465622053166E-5
