0,P,0.993596912115708
9,P,0.0017179249977162566
8,P,0.0017179249977162566
2,P,0.0017179249922041745
5,P,5.629296486089166E-4
1,6,P,1.628847406225164E-4
1,14,P,1.6288474061524586E-4
3,6,P,1.6288474060742708E-4
6,13,P,4.072118513927675E-5
6,7,P,4.072118480193917E-5
6,12,P,4.0721182761076006E-5
12,14,P,2.4131072684670253E-5
7,14,P,2.413107268438757E-5
1,10,P,1.3343517951315187E-5
1,11,P,4.795034247740897E-6
7,10,P,2.1997466229975035E-6
10,12,P,2.199746622819594E-6
3,4,14,P,1.6288474059492767E-6
10,13,P,8.93743417825944E-7
11,12,P,7.390307057803192E-7
7,11,P,7.390307054489994E-7
4,13,14,P,4.07211851139637E-7
3,10,14,P,1.3343517539647074E-7
11,13,P,1.3069616554377364E-7
3,11,14,P,4.794116710416795E-8
10,13,14,P,3.335879487705509E-8
11,13,14,P,1.198729584887808E-8
