2,P,0.5649888334770591
9,P,0.059588666144367974
1,4,P,0.05649888367079007
1,6,P,0.05649888367078102
4,6,P,0.056498883670770925
1,5,P,0.056498883668259135
3,4,P,0.05649888366554718
0,6,P,0.056498883665547076
4,10,P,0.01412472091201972
4,7,P,0.008370204988138424
6,8,P,0.0046283885420527705
1,8,P,0.004628388542052601
0,5,10,P,0.0014124719683619752
3,8,P,0.0012400303625952893
0,5,7,P,8.370204987144371E-4
0,3,8,P,4.6283796530235645E-4
8,10,P,3.100075869731525E-4
7,8,P,1.837082011244706E-4
0,8,10,P,1.1570970294577072E-4
5,8,10,P,1.157090965968311E-4
