0,P,0.5602677279435226
9,P,0.059090737233775434
8,P,0.059090737233775434
2,P,0.059090737044178686
1,6,P,0.056026773114727736
1,14,P,0.056026773112226924
3,6,P,0.05602677310953752
5,P,0.019362852273103203
6,13,P,0.014006693273057284
6,7,P,0.014006693157024708
6,12,P,0.014006692455037665
12,14,P,0.008300262683612808
7,14,P,0.008300262683515575
3,4,14,P,0.005602677310523814
1,10,P,0.004589713253392925
1,11,P,0.0016493275849462322
4,13,14,P,0.0014006693264350457
7,10,P,7.56637512424739E-4
10,12,P,7.566375123635443E-4
3,10,14,P,4.589713111793191E-4
10,13,P,3.074171312913859E-4
11,12,P,2.5420125617247257E-4
7,11,P,2.542012560585099E-4
3,11,14,P,1.649011983525956E-4
10,13,14,P,1.1474283133058245E-4
11,13,P,4.495500552047216E-5
11,13,14,P,4.123219291245073E-5
