1,P,0.51
2,3,P,0.17
7,3,P,0.06
6,3,P,0.06
5,3,P,0.06
0,7,P,0.06
9,3,P,0.02
9,8,P,0.01
7,9,P,0.01
5,8,P,0.01
5,7,P,0.01
5,13,P,0.01
10,P,0.01
0,6,8,P,0.01
0,6,12,P,0.0
