1,2,P,0.74
0,5,2,P,0.06
5,2,3,P,0.05
1,12,P,0.04
13,2,P,0.03
1,8,P,0.03
5,6,2,P,0.01
5,2,11,P,0.01
1,9,P,0.01
0,5,8,P,0.01
0,5,9,P,0.0
