0,P,0.57
9,8,P,0.06
9,2,P,0.06
7,8,P,0.06
1,2,P,0.06
7,2,P,0.05
4,P,0.05
7,11,P,0.04
9,3,P,0.01
7,3,P,0.01
10,2,P,0.01
1,6,8,P,0.01
1,6,11,P,0.01
1,3,P,0.0
