algorithm,pBug,pValid,times,precision_avg,recall_avg,steps,tests_avg,files_avg,bugged_avg,initials,tests
uniform,0,0,10,0.445,0.31,2.36842105263,6.05263157895,11.6315789474,1.57894736842,1.26315789474,6.05263157895
randomForest,0,0,10,0.591315789474,0.438947368421,1.26315789474,7.0,11.6315789474,1.57894736842,1.47368421053,7.0
0.0,0.6,0.0,10,0.908421052632,0.638947368421,0.421052631579,9.47368421053,11.6315789474,1.57894736842,2.0,9.47368421053
0.1,0.6,0.1,10,0.643684210526,0.435789473684,1.57894736842,7.94736842105,11.6315789474,1.57894736842,1.57894736842,7.94736842105
0.2,0.6,0.2,10,0.505,0.345263157895,2.05263157895,6.42105263158,11.6315789474,1.57894736842,1.26315789474,6.42105263158
uniform,0,0,20,0.50149122807,0.266052631579,2.21052631579,11.3684210526,23.5263157895,2.05263157895,2.52631578947,11.3684210526
randomForest,0,0,20,0.601140350877,0.36201754386,0.789473684211,12.7894736842,23.5263157895,2.05263157895,2.94736842105,12.7894736842
0.0,0.6,0.0,20,0.923157894737,0.56,0.421052631579,17.7368421053,23.5263157895,2.05263157895,3.89473684211,17.7368421053
0.1,0.6,0.1,20,0.65701754386,0.413859649123,1.26315789474,13.8947368421,23.5263157895,2.05263157895,3.15789473684,13.8947368421
0.2,0.6,0.2,20,0.518771929825,0.307631578947,1.36842105263,10.5789473684,23.5263157895,2.05263157895,2.52631578947,10.5789473684
uniform,0,0,30,0.379473684211,0.175833333333,1.05263157895,11.6842105263,30.9473684211,2.21052631579,1.89473684211,11.6842105263
randomForest,0,0,30,0.663333333333,0.38701754386,1.94736842105,21.2105263158,30.9473684211,2.21052631579,3.36842105263,21.2105263158
0.0,0.6,0.0,30,0.92,0.541447368421,0.526315789474,25.0,30.9473684211,2.21052631579,3.94736842105,25.0
0.1,0.6,0.1,30,0.690789473684,0.407280701754,2.73684210526,21.6842105263,30.9473684211,2.21052631579,3.36842105263,21.6842105263
0.2,0.6,0.2,30,0.429298245614,0.227850877193,1.15789473684,12.0,30.9473684211,2.21052631579,2.10526315789,12.0
uniform,0,0,40,0.467543859649,0.239868421053,2.05263157895,15.9473684211,33.7368421053,2.21052631579,3.47368421053,15.9473684211
randomForest,0,0,40,0.734561403509,0.428333333333,2.05263157895,26.6315789474,33.7368421053,2.21052631579,5.26315789474,26.6315789474
0.0,0.6,0.0,40,0.933684210526,0.550263157895,0.105263157895,29.2631578947,33.7368421053,2.21052631579,5.78947368421,29.2631578947
0.1,0.6,0.1,40,0.717368421053,0.429736842105,1.73684210526,25.4736842105,33.7368421053,2.21052631579,4.94736842105,25.4736842105
0.2,0.6,0.2,40,0.433333333333,0.228421052632,0.789473684211,14.0,33.7368421053,2.21052631579,3.15789473684,14.0
