algorithm,pBug,pValid,times,index,precision,recall,auc,wasted,tests,files,bugged,bugsIDS,pack
randomForest,0,0,10,15,0.984146704985,0.494521478633,0.708333333333,2,11,8,2,5,"""['src\\main\\java\\com\\orientechnologies\\orient\\core\\storage\\impl\\local\\paginated'"
randomForest,0,0,10,16,0.989567811542,0.498218799341,1.0,1,11,11,2,5,"""['src\\main\\java\\com\\orientechnologies\\orient\\core\\index\\sbtree'"
randomForest,0,0,10,17,0.788249699587,0.394618943474,0.633333333333,5,11,19,2,5,"""['src\\main\\java\\com\\orientechnologies\\orient\\core\\type\\tree'"
randomForest,0,0,10,18,0.999623214827,0.499836349338,0.683333333333,3,9,13,2,5,"""['src\\main\\java\\com\\orientechnologies\\orient\\core\\sql\\functions\\misc'"
Sanity,0.6,0.0,10,0,1.0,0,0.99507406479,0.99507406479,11,20,1,5,"""['src\\main\\java\\com\\orientechnologies\\orient\\core\\sql\\filter'"
Sanity,0.6,0.0,10,1,0.633333333333,4,0.998233523558,0.499150035121,8,8,2,5,"""['src\\main\\java\\com\\orientechnologies\\orient\\core\\index'"
Sanity,0.6,0.0,10,2,1.0,0,0.919676370431,0.919676370431,7,4,1,5,"""['src\\main\\java\\com\\orientechnologies\\orient\\core\\type\\tree'"
Sanity,0.6,0.0,10,3,1.0,0,0.902272629994,0.902272629994,4,6,1,5,"""['src\\main\\java\\com\\orientechnologies\\orient\\core\\id'"
Sanity,0.6,0.0,10,4,1.0,0,0.999836092443,0.999836092443,11,11,1,5,"""['src\\main\\java\\com\\orientechnologies\\orient\\core\\intent'"
Sanity,0.6,0.0,10,5,1.0,0,0.956953290416,0.956953290416,11,23,1,5,"""['src\\test\\java\\com\\orientechnologies\\orient\\core\\index'"
Sanity,0.6,0.0,10,6,1.0,0,0.996879150917,0.996879150917,11,10,1,5,"""['src\\test\\java\\com\\orientechnologies\\common\\concur\\lock'"
Sanity,0.6,0.0,10,7,0.791666666667,1,0.998719178774,0.499622784752,11,7,2,5,"""['src\\main\\java\\com\\orientechnologies\\orient\\core\\sql\\functions\\coll'"
Sanity,0.6,0.0,10,8,1.0,0,0.929983060429,0.929983060429,4,3,1,5,"""['src\\main\\java\\com\\orientechnologies\\orient\\core\\metadata\\schema'"
Sanity,0.6,0.0,10,9,0.916666666667,1,0.991063785455,0.497997225536,11,15,2,5,"""['src\\main\\java\\com\\orientechnologies\\orient\\core\\command'"
Sanity,0.6,0.0,10,10,1.0,0,0.987984766951,0.493992383475,11,8,2,5,"""['src\\main\\java\\com\\orientechnologies\\orient\\core\\index'"
Sanity,0.6,0.0,10,11,0.791666666667,1,0.991595103237,0.498264206113,6,7,2,5,"""['src\\main\\java\\com\\orientechnologies\\common\\util'"
Sanity,0.6,0.0,10,12,1.0,0,0.997500403524,0.997500403524,11,9,1,5,"""['src\\main\\java\\com\\orientechnologies\\orient\\core\\storage\\impl\\memory'"
Sanity,0.6,0.0,10,13,1.0,0,0.986157249009,0.986157249009,11,24,2,5,"""['src\\main\\java\\com\\orientechnologies\\orient\\core\\sql\\filter'"
