algorithm,pBug,pValid,times,index,precision,recall,auc,wasted,tests,files,bugged,bugsIDS,pack
uniform,0,0,10,0,0.110990111423,0.110990111423,0.583333333333,2,11,18,2,5,"""['org.eclipse.cdt.core\\model\\org\\eclipse\\cdt\\internal\\core\\settings\\model\\xml'"
uniform,0,0,10,1,0.103691684036,0.103691684036,0.666666666667,3,11,38,2,5,"""['org.eclipse.cdt.core.tests\\parser\\org\\eclipse\\cdt\\core\\parser\\tests\\ast2'"
uniform,0,0,10,2,0.801186944169,0.801186944169,1.0,0,3,4,1,5,"""['org.eclipse.cdt.core\\parser\\org\\eclipse\\cdt\\internal\\core\\dom\\parser\\cpp\\semantics'"
uniform,0,0,10,3,0.517088225849,0.517088225849,1.0,0,11,15,2,5,"""['org.eclipse.cdt.core\\src\\org\\eclipse\\cdt\\internal\\core\\cdtvariables'"
uniform,0,0,10,4,0.211763983287,0.211763983287,1.0,0,11,30,1,5,"""['org.eclipse.cdt.managedbuilder.core\\src\\org\\eclipse\\cdt\\managedbuilder\\language\\settings\\providers'"
uniform,0,0,10,5,0.0883636367274,0.0883636367274,0.541666666667,2,10,13,2,5,"""['org.eclipse.cdt.core.tests\\parser\\org\\eclipse\\cdt\\core\\parser\\tests\\scanner'"
uniform,0,0,10,6,0.540216626255,0.270108313128,0.875,2,11,9,2,5,"""['org.eclipse.cdt.core\\model\\org\\eclipse\\cdt\\internal\\core\\model'"
uniform,0,0,10,7,0.537985731,0.210664426021,1.0,3,11,32,3,5,"""['org.eclipse.cdt.core\\parser\\org\\eclipse\\cdt\\core\\index'"
uniform,0,0,10,8,0.559617133957,0.305287522435,1.0,3,10,22,2,5,"""['org.eclipse.cdt.core\\parser\\org\\eclipse\\cdt\\core\\parser'"
uniform,0,0,10,9,0.287308776809,0.287308776809,0.791666666667,1,11,29,2,5,"""['org.eclipse.cdt.core\\model\\org\\eclipse\\cdt\\internal\\core\\model'"
uniform,0,0,10,10,0.598902384261,0.317065968193,0.6625,3,11,19,2,5,"""['org.eclipse.cdt.core\\parser\\org\\eclipse\\cdt\\internal\\core\\dom\\parser'"
uniform,0,0,10,11,0.086505293866,0.086505293866,0.666666666667,2,9,16,1,5,"""['org.eclipse.cdt.core\\parser\\org\\eclipse\\cdt\\internal\\core\\pdom\\db'"
uniform,0,0,10,12,0.0674156302896,0.0674156302896,0.75,1,10,29,1,5,"""['org.eclipse.cdt.core\\parser\\org\\eclipse\\cdt\\internal\\core\\dom\\parser\\cpp\\semantics'"
uniform,0,0,10,13,0.490819613611,0.262577795161,1.0,3,11,37,2,5,"""['org.eclipse.cdt.core.tests\\parser\\org\\eclipse\\cdt\\core\\parser\\tests'"
uniform,0,0,10,14,0.654189398671,0.654189398671,1.0,0,11,14,2,5,"""['org.eclipse.cdt.core\\src\\org\\eclipse\\cdt\\core'"
uniform,0,0,10,15,0.845566512734,0.455050004902,1.0,1,11,20,2,5,"""['org.eclipse.cdt.core\\model\\org\\eclipse\\cdt\\core\\language\\settings\\providers'"
uniform,0,0,10,16,0.32748561179,0.163742805895,0.833333333333,4,11,25,2,5,"""['org.eclipse.cdt.core\\parser\\org\\eclipse\\cdt\\internal\\core\\pdom\\dom\\cpp'"
uniform,0,0,10,17,0.656054907812,0.35736689632,1.0,2,11,27,2,5,"""['org.eclipse.cdt.managedbuilder.core\\src\\org\\eclipse\\cdt\\managedbuilder\\language\\settings\\providers'"
uniform,0,0,10,18,0.691470257479,0.255391484642,1.0,0,11,50,3,5,"""['org.eclipse.cdt.core\\src\\org\\eclipse\\cdt\\internal\\core\\cdtvariables'"
uniform,0,0,10,19,0.708582847605,0.708582847605,1.0,0,11,16,2,5,"""['org.eclipse.cdt.core\\src\\org\\eclipse\\cdt\\internal\\core'"
