algorithm,pBug,pValid,times,precision_avg,recall_avg,steps,tests_avg,files_avg,bugged_avg,initials,tests
uniform,0,0,10,0.32475,0.22,7.45,9.15,23.15,1.9,1.7,9.15
randomForest,0,0,10,0.2205,0.176666666667,3.9,4.8,23.15,1.9,0.9,4.8
0.0,0.6,0.0,10,0.0,0.0,0.0,0,23.15,1.9,0,0
0.1,0.6,0.1,10,0.36525,0.281,4.75,5.85,23.15,1.9,1.1,5.85
0.2,0.6,0.2,10,0.5095,0.3625,7.4,9.1,23.15,1.9,1.7,9.1
uniform,0,0,20,0.351416666667,0.217675,15.7,19.5,58.65,2.65,3.8,19.5
randomForest,0,0,20,0.3395,0.23775,10.75,13.35,58.65,2.65,2.6,13.35
0.0,0.6,0.0,20,0.0485,0.0194,0.85,1.05,58.65,2.65,0.2,1.05
0.1,0.6,0.1,20,0.437333333333,0.268583333333,11.5,14.3,58.65,2.65,2.8,14.3
0.2,0.6,0.2,20,0.468,0.308808333333,14.9,18.5,58.65,2.65,3.6,18.5
uniform,0,0,30,0.272916666667,0.145483333333,20.1,23.1,97.5,3.55,3.0,23.1
randomForest,0,0,30,0.25925,0.160041666667,17.4,20.0,97.5,3.55,2.6,20.0
0.0,0.6,0.0,30,0.0,0.0,0.0,0,97.5,3.55,0,0
0.1,0.6,0.1,30,0.391083333333,0.182716666667,17.55,20.15,97.5,3.55,2.6,20.15
0.2,0.6,0.2,30,0.45725,0.271666666667,22.8,26.2,97.5,3.55,3.4,26.2
uniform,0,0,40,0.277166666667,0.139833333333,25.05,29.8,109.0,3.55,4.75,29.8
randomForest,0,0,40,0.222583333333,0.121191666667,22.1,26.25,109.0,3.55,4.15,26.25
0.0,0.6,0.0,40,0.0885,0.0324166666667,3.3,3.9,109.0,3.55,0.6,3.9
0.1,0.6,0.1,40,0.423333333333,0.212775,22.25,26.35,109.0,3.55,4.1,26.35
0.2,0.6,0.2,40,0.41225,0.250016666667,25.5,30.2,109.0,3.55,4.7,30.2
