1,2,P,0.73
11,2,P,0.13
0,3,2,P,0.03
10,P,0.02
1,7,P,0.02
1,6,P,0.02
0,8,2,P,0.02
3,2,9,P,0.01
0,5,2,P,0.01
0,3,6,P,0.0
