2,P,0.56
0,6,P,0.12
1,13,P,0.09
1,6,P,0.06
6,9,P,0.04
6,7,P,0.04
4,P,0.02
0,5,13,P,0.02
6,12,P,0.01
5,9,13,P,0.01
5,13,7,P,0.01
3,6,P,0.01
3,13,P,0.0
