0,1,P,0.28404121776159225
0,40,P,0.07101030441505216
0,41,P,0.042080180410372536
0,29,P,0.029957472185645217
1,47,48,P,0.02840412177261609
0,30,P,0.023268656555540935
0,14,P,0.02326865655488508
0,5,P,0.019024965820469045
0,38,P,0.019024965820372722
0,2,P,0.01902496578231496
0,19,P,0.019024964931277043
0,23,P,0.0160917244826142
0,46,P,0.01609172447438159
0,6,P,0.016091724443924794
0,43,P,0.016091724443924794
0,28,P,0.016091724443924794
0,11,P,0.016091724443924794
0,39,P,0.016091724431641505
0,17,P,0.016091724431641505
0,4,P,0.016091724404103325
10,P,0.014284835889035868
0,27,P,0.01394272783954431
0,9,P,0.013942727839447314
0,44,P,0.013942727839447314
0,42,P,0.013942727839447314
0,20,P,0.013942727839447314
0,45,P,0.013942727814895238
0,18,P,0.013942727805108886
0,31,P,0.01394272778838746
0,34,P,0.012300384182291452
0,3,P,0.01230038417098266
0,26,P,0.012300380707798778
0,16,P,0.012300380704372949
0,13,P,0.012300380704372949
0,25,P,0.01100433868042099
0,15,P,0.011003617410327945
0,7,P,0.009955471393863822
12,P,0.009235704881968423
0,8,P,0.009089205755761066
37,P,0.006315844214018882
36,P,0.006315844214018882
35,P,0.003332366445356704
33,P,0.0025321040457230736
32,P,0.0025321040457230736
1,24,47,P,0.0023252232325415307
22,P,0.001969119860329101
1,5,47,P,0.0019024805814402382
1,4,47,P,0.001609170611083979
1,23,47,P,0.0016091635918627672
21,P,0.0015615330985079936
1,31,47,P,0.0013942710248745207
1,45,47,P,0.0013942696792073142
1,18,47,P,0.0013942615519032622
1,3,47,P,0.0012300358116489006
1,25,47,P,0.0011004265281037604
1,8,47,P,9.088823665152117E-4
