0,P,0.792582953758787
1,3,P,0.1664424209038964
3,4,P,0.01432496242763968
2,3,P,0.014324962382574984
3,5,P,0.006043343521950785
3,6,P,0.003246195630861776
7,P,0.003035161374289329
