0,P,0.8831229431990054
82,P,0.07234542690941426
52,P,0.019382670993852515
79,P,0.0074120544847053335
60,P,0.007412054428268375
81,P,0.0034496990165982866
93,P,0.0018235957513964033
35,P,0.0010547963961766418
47,P,7.162913857501251E-4
57,P,6.525711528847733E-4
16,P,4.254083460700597E-4
59,P,4.2540834607005966E-4
48,P,4.2540834607005966E-4
53,P,2.8918789754450367E-4
38,P,1.473030662419914E-4
49,P,1.0927388063517915E-4
36,P,1.0927388063517915E-4
19,84,P,8.743791583485351E-5
19,20,P,8.743791583362923E-5
19,43,P,8.743791559291038E-5
33,P,7.338668045328399E-5
26,P,7.338668045328399E-5
45,P,6.384818320390074E-5
2,P,3.4155435807903824E-5
72,P,2.605356315071498E-5
103,P,2.6053563150714974E-5
102,P,2.1420875370536774E-5
90,P,1.8055403479172313E-5
24,P,1.8055403479172313E-5
56,P,1.7774074811893073E-5
63,P,1.2538517265547257E-5
92,P,1.0443528675016257E-5
28,P,9.096902974663417E-6
88,P,6.461100523611614E-6
19,109,P,5.856556219565541E-6
86,P,4.2119638224758385E-6
85,P,2.8632465103416206E-6
6,P,2.014406983244193E-6
3,P,2.014406983244193E-6
13,P,2.014406983244193E-6
23,P,1.0819175468471696E-6
64,P,6.321602297415915E-7
74,P,4.954390087668309E-7
70,P,3.937830808732033E-7
37,P,3.169309055332136E-7
69,P,2.579560707991582E-7
29,P,2.579560707991582E-7
17,P,2.5795607079915817E-7
61,P,2.120878749558097E-7
31,P,2.120878749558097E-7
14,P,1.7598093873161458E-7
4,P,1.2414373530244812E-7
8,P,1.0540336359137212E-7
10,P,9.006834628379617E-8
