0,P,0.9947741475306371
45,P,0.0013359327282645907
78,P,0.0013359326719183065
32,P,3.5792094339499E-4
57,P,3.579209358789699E-4
25,P,3.579209358789699E-4
2,P,3.579209358789699E-4
1,80,P,1.6307773034670352E-4
1,19,P,1.6307773034442017E-4
1,42,P,1.6307772989546294E-4
75,P,1.368712049284752E-4
77,P,6.370223829529153E-5
86,P,6.370223829529152E-5
88,P,6.37022382952915E-5
87,P,3.3674570027934255E-5
54,P,3.3674570027934255E-5
34,P,3.3674570027934255E-5
23,P,3.3674570027934255E-5
84,P,1.9477899683120013E-5
56,P,1.9477899683120006E-5
1,104,P,1.3359327670003615E-5
82,P,1.2050397117453723E-5
46,P,1.2050397117453723E-5
16,P,1.2050397117453723E-5
81,P,7.855602388431932E-6
37,P,7.855602388431932E-6
6,P,7.85560238843193E-6
50,P,7.85560238843193E-6
3,P,7.85560238843193E-6
13,P,5.3401517850852946E-6
47,P,3.757007651491484E-6
35,P,3.757007651491484E-6
22,P,3.757007651491484E-6
61,P,2.720102531329663E-6
44,P,2.720102531329663E-6
66,P,2.0178545288097597E-6
70,P,2.0178545288097593E-6
36,P,2.0178545288097593E-6
98,P,1.5285036471229706E-6
68,P,1.5285036471229706E-6
65,P,1.5285036471229706E-6
28,P,1.5285036471229706E-6
97,P,1.1790223325590335E-6
58,P,1.1790223325590335E-6
30,P,1.1790223325590335E-6
53,P,9.240278465410284E-7
17,P,9.24027846541028E-7
14,P,5.910979494147566E-7
60,P,5.910979494147565E-7
4,P,5.910979494147565E-7
8,P,4.811058240973312E-7
27,P,3.9555848228557957E-7
10,P,3.9555848228557957E-7
