algorithm,pBug,pValid,times,index,precision,recall,auc,wasted,tests,files,bugged,bugsIDS,pack
Sanity,0.6,0.0,10,4,1.0,0,0.99664244552,0.458084105683,10,16,3,5,"""['src\\main\\java\\com\\orientechnologies\\orient\\core\\type'"
Sanity,0.6,0.0,10,5,1.0,0,0.991761599749,0.456094314012,11,35,3,5,"""['src\\main\\java\\com\\orientechnologies\\orient\\core\\storage\\impl\\local\\paginated'"
Sanity,0.6,0.0,10,6,1.0,0,0.897729377477,0.897729377477,6,8,1,5,"""['src\\main\\java\\com\\orientechnologies\\common\\log'"
Sanity,0.6,0.0,10,7,1.0,0,0.993527622104,0.456812028242,11,24,3,5,"""['src\\main\\java\\com\\orientechnologies\\orient\\core\\metadata\\schema\\clusterselection'"
Sanity,0.6,0.0,10,8,1.0,0,0.970160492605,0.970160492605,10,7,2,5,"""['src\\main\\java\\com\\orientechnologies\\orient\\core\\storage\\impl\\local\\eh'"
Sanity,0.6,0.0,10,9,1.0,0,0.995812259335,0.458183933594,5,9,3,5,"""['src\\main\\java\\com\\orientechnologies\\orient\\core\\serialization\\serializer\\record'"
Sanity,0.6,0.0,10,10,1.0,0,0.997259619965,0.458527955887,9,7,3,5,"""['src\\main\\java\\com\\orientechnologies\\orient\\core\\storage\\impl\\local\\eh'"
Sanity,0.6,0.0,10,11,1.0,0,0.998234219264,0.459181314471,9,7,3,5,"""['src\\test\\java\\com\\orientechnologies\\orient\\core\\index\\hashindex\\local\\cache'"
Sanity,0.6,0.0,10,12,1.0,1,0.994616736006,0.499947378566,8,8,2,5,"""['src\\main\\java\\com\\orientechnologies\\orient\\core\\collate'"
Sanity,0.6,0.0,10,13,1.0,1,0.977914036874,0.492953452893,11,25,2,5,"""['src\\main\\java\\com\\orientechnologies\\orient\\core\\storage\\impl\\local\\paginated'"
Sanity,0.6,0.1,10,0,1.0,0,0.867823217452,0.411072032286,11,23,3,5,"""['src\\test\\java\\com\\orientechnologies\\orient\\core\\index\\sbtree\\local'"
Sanity,0.6,0.1,10,1,0.877083333333,1,0.98897795591,0.494488977955,10,15,4,5,"""['src\\main\\java\\com\\orientechnologies\\orient\\core\\storage'"
Sanity,0.6,0.1,10,2,1.0,0,0.97568509252,0.450162124056,10,15,3,5,"""['src\\test\\java\\com\\orientechnologies\\orient\\core\\db\\document'"
Sanity,0.6,0.1,10,3,1.0,0,0.863477919819,0.411965039438,11,26,3,5,"""['src\\main\\java\\com\\orientechnologies\\orient\\core\\index\\hashindex\\local'"
Sanity,0.6,0.1,10,4,1.0,0,0.964266666853,0.443203312994,10,16,3,5,"""['src\\main\\java\\com\\orientechnologies\\orient\\core\\type'"
Sanity,0.6,0.1,10,5,1.0,0,0.917211979986,0.424123912977,11,35,3,5,"""['src\\main\\java\\com\\orientechnologies\\orient\\core\\storage\\impl\\local\\paginated'"
Sanity,0.6,0.1,10,6,1.0,0,0.443825883503,0.443825883503,6,8,1,5,"""['src\\main\\java\\com\\orientechnologies\\common\\log'"
Sanity,0.6,0.1,10,7,1.0,0,0.933612397968,0.430750601128,11,24,3,5,"""['src\\main\\java\\com\\orientechnologies\\orient\\core\\metadata\\schema\\clusterselection'"
Sanity,0.6,0.1,10,8,1.0,0,0.753772214419,0.753772214419,10,7,2,5,"""['src\\main\\java\\com\\orientechnologies\\orient\\core\\storage\\impl\\local\\eh'"
Sanity,0.6,0.1,10,9,1.0,0,0.955341438555,0.444065352847,5,9,3,5,"""['src\\main\\java\\com\\orientechnologies\\orient\\core\\serialization\\serializer\\record'"
Sanity,0.6,0.1,10,10,1.0,0,0.970879140941,0.447944751476,9,7,3,5,"""['src\\main\\java\\com\\orientechnologies\\orient\\core\\storage\\impl\\local\\eh'"
Sanity,0.6,0.1,10,11,1.0,0,0.981238969238,0.454888518389,9,7,3,5,"""['src\\test\\java\\com\\orientechnologies\\orient\\core\\index\\hashindex\\local\\cache'"
Sanity,0.6,0.1,10,12,0.791666666667,1,0.936689966132,0.494305801396,8,8,2,5,"""['src\\main\\java\\com\\orientechnologies\\orient\\core\\collate'"
Sanity,0.6,0.1,10,13,1.0,1,0.813232029699,0.440411505115,11,25,2,5,"""['src\\main\\java\\com\\orientechnologies\\orient\\core\\storage\\impl\\local\\paginated'"
Sanity,0.6,0.2,10,0,1.0,0,0.785009677806,0.380650380677,11,23,3,5,"""['src\\test\\java\\com\\orientechnologies\\orient\\core\\index\\sbtree\\local'"
Sanity,0.6,0.2,10,1,0.877083333333,1,0.979371316303,0.489685658151,10,15,4,5,"""['src\\main\\java\\com\\orientechnologies\\orient\\core\\storage'"
Sanity,0.6,0.2,10,2,1.0,0,0.954915822053,0.442077149367,10,15,3,5,"""['src\\test\\java\\com\\orientechnologies\\orient\\core\\db\\document'"
Sanity,0.6,0.2,10,3,1.0,0,0.781046228811,0.38318666776,11,26,3,5,"""['src\\main\\java\\com\\orientechnologies\\orient\\core\\index\\hashindex\\local'"
Sanity,0.6,0.2,10,4,1.0,0,0.933928152482,0.429258902653,10,16,3,5,"""['src\\main\\java\\com\\orientechnologies\\orient\\core\\type'"
Sanity,0.6,0.2,10,5,1.0,0,0.854526453731,0.397241396073,11,35,3,5,"""['src\\main\\java\\com\\orientechnologies\\orient\\core\\storage\\impl\\local\\paginated'"
Sanity,0.6,0.2,10,6,0.75,1,0.294780885047,0.294780885047,6,8,1,5,"""['src\\main\\java\\com\\orientechnologies\\common\\log'"
Sanity,0.6,0.2,10,7,1.0,0,0.881278431194,0.407986806443,11,24,3,5,"""['src\\main\\java\\com\\orientechnologies\\orient\\core\\metadata\\schema\\clusterselection'"
Sanity,0.6,0.2,10,8,1.0,0,0.62389548931,0.62389548931,10,7,2,5,"""['src\\main\\java\\com\\orientechnologies\\orient\\core\\storage\\impl\\local\\eh'"
Sanity,0.6,0.2,10,9,1.0,0,0.917320509361,0.430522725377,5,9,3,5,"""['src\\main\\java\\com\\orientechnologies\\orient\\core\\serialization\\serializer\\record'"
Sanity,0.6,0.2,10,10,1.0,0,0.946230960331,0.438056502914,9,7,3,5,"""['src\\main\\java\\com\\orientechnologies\\orient\\core\\storage\\impl\\local\\eh'"
Sanity,0.6,0.2,10,11,1.0,0,0.965364922639,0.450878924828,9,7,3,5,"""['src\\test\\java\\com\\orientechnologies\\orient\\core\\index\\hashindex\\local\\cache'"
Sanity,0.6,0.2,10,12,0.791666666667,1,0.874942672815,0.481544821935,8,8,2,5,"""['src\\main\\java\\com\\orientechnologies\\orient\\core\\collate'"
Sanity,0.6,0.2,10,13,1.0,1,0.710407098952,0.407605115187,11,25,2,5,"""['src\\main\\java\\com\\orientechnologies\\orient\\core\\storage\\impl\\local\\paginated'"
uniform,0,0,20,0,0.711356332252,0.174159498126,0.622066869301,24,21,47,5,5,"""['src\\test\\java\\com\\orientechnologies\\orient\\core\\index\\sbtree\\local'"
uniform,0,0,20,1,0.944444444436,0.472222222218,0.877083333333,1,10,15,4,5,"""['src\\main\\java\\com\\orientechnologies\\orient\\core\\storage'"
uniform,0,0,20,2,0.983403405392,0.192514212781,0.777027027027,4,21,37,6,5,"""['src\\test\\java\\com\\orientechnologies\\orient\\core\\db\\document'"
uniform,0,0,20,3,0.712024018656,0.162220529761,0.71130952381,35,21,42,6,5,"""['src\\main\\java\\com\\orientechnologies\\orient\\core\\index\\hashindex\\local'"
uniform,0,0,20,4,0.16182548436,0.0809127421798,0.345138888889,14,21,45,4,5,"""['src\\main\\java\\com\\orientechnologies\\orient\\core\\type'"
uniform,0,0,20,5,0.261908978187,0.104763591275,0.382051282051,62,21,78,5,5,"""['src\\main\\java\\com\\orientechnologies\\orient\\core\\storage\\impl\\local\\paginated'"
uniform,0,0,20,6,0.588303944816,0.390420409956,1.0,1,21,29,2,5,"""['src\\main\\java\\com\\orientechnologies\\common\\log'"
uniform,0,0,20,7,0.760456135363,0.150217099145,0.596612466125,12,21,41,6,5,"""['src\\main\\java\\com\\orientechnologies\\orient\\core\\metadata\\schema\\clusterselection'"
uniform,0,0,20,8,0.747409287129,0.373704643564,0.611742424242,2,20,11,4,5,"""['src\\main\\java\\com\\orientechnologies\\orient\\core\\storage\\impl\\local\\eh'"
uniform,0,0,20,9,0.829093322435,0.309809751942,0.763888888889,1,5,9,3,5,"""['src\\main\\java\\com\\orientechnologies\\orient\\core\\serialization\\serializer\\record'"
uniform,0,0,20,10,0.895083843671,0.209505607631,0.629298245614,6,21,19,5,5,"""['src\\main\\java\\com\\orientechnologies\\orient\\core\\storage\\impl\\local\\eh'"
uniform,0,0,20,11,0.975342822883,0.362141989362,1.0,0,9,7,3,5,"""['src\\test\\java\\com\\orientechnologies\\orient\\core\\index\\hashindex\\local\\cache'"
uniform,0,0,20,12,0.899078048354,0.47230683318,0.791666666667,1,8,8,2,5,"""['src\\main\\java\\com\\orientechnologies\\orient\\core\\collate'"
uniform,0,0,20,13,0.462925608173,0.242484842435,0.586805555556,7,21,52,2,5,"""['src\\main\\java\\com\\orientechnologies\\orient\\core\\storage\\impl\\local\\paginated'"
randomForest,0,0,20,0,0.888028522137,0.188838467489,0.576114488349,24,21,47,5,5,"""['src\\test\\java\\com\\orientechnologies\\orient\\core\\index\\sbtree\\local'"
randomForest,0,0,20,1,0.944444444436,0.472222222218,0.877083333333,1,10,15,4,5,"""['src\\main\\java\\com\\orientechnologies\\orient\\core\\storage'"
randomForest,0,0,20,2,0.54254160492,0.0982854914078,0.571471471471,4,21,37,6,5,"""['src\\test\\java\\com\\orientechnologies\\orient\\core\\db\\document'"
randomForest,0,0,20,3,0.530994879487,0.174370252057,0.443915343915,35,21,42,6,5,"""['src\\main\\java\\com\\orientechnologies\\orient\\core\\index\\hashindex\\local'"
randomForest,0,0,20,4,0.193320434463,0.0966602172317,0.29751984127,14,21,45,4,5,"""['src\\main\\java\\com\\orientechnologies\\orient\\core\\type'"
randomForest,0,0,20,5,0.532719960614,0.213087984246,0.622051282051,62,21,78,5,5,"""['src\\main\\java\\com\\orientechnologies\\orient\\core\\storage\\impl\\local\\paginated'"
randomForest,0,0,20,6,0.611320480857,0.449800509223,0.791666666667,1,21,29,2,5,"""['src\\main\\java\\com\\orientechnologies\\common\\log'"
randomForest,0,0,20,7,0.0732336803878,0.0132828975023,0.336511456024,12,21,41,6,5,"""['src\\main\\java\\com\\orientechnologies\\orient\\core\\metadata\\schema\\clusterselection'"
randomForest,0,0,20,8,0.749742692954,0.374871346477,0.611742424242,2,20,11,4,5,"""['src\\main\\java\\com\\orientechnologies\\orient\\core\\storage\\impl\\local\\eh'"
randomForest,0,0,20,9,0.743687376485,0.276830045402,0.637896825397,5,5,9,3,5,"""['src\\main\\java\\com\\orientechnologies\\orient\\core\\serialization\\serializer\\record'"
randomForest,0,0,20,10,0.716543254177,0.192367993269,0.512155388471,6,21,19,5,5,"""['src\\main\\java\\com\\orientechnologies\\orient\\core\\storage\\impl\\local\\eh'"
randomForest,0,0,20,11,0.997218249693,0.661594237796,1.0,0,9,7,3,5,"""['src\\test\\java\\com\\orientechnologies\\orient\\core\\index\\hashindex\\local\\cache'"
randomForest,0,0,20,12,0.994658193701,0.499968217413,1.0,1,8,8,2,5,"""['src\\main\\java\\com\\orientechnologies\\orient\\core\\collate'"
randomForest,0,0,20,13,0.097546636447,0.0490159715494,0.329230769231,24,21,52,2,5,"""['src\\main\\java\\com\\orientechnologies\\orient\\core\\storage\\impl\\local\\paginated'"
Sanity,0.6,0.0,20,0,0.824924012158,24,0.992870453004,0.308057106644,21,47,5,5,"""['src\\test\\java\\com\\orientechnologies\\orient\\core\\index\\sbtree\\local'"
Sanity,0.6,0.0,20,1,0.877083333333,1,0.998977505112,0.499488752556,10,15,4,5,"""['src\\main\\java\\com\\orientechnologies\\orient\\core\\storage'"
Sanity,0.6,0.0,20,2,0.777027027027,4,0.999416434586,0.258146406833,21,37,6,5,"""['src\\test\\java\\com\\orientechnologies\\orient\\core\\db\\document'"
Sanity,0.6,0.0,20,3,0.855654761905,35,0.9882906854,0.271796686075,21,42,6,5,"""['src\\main\\java\\com\\orientechnologies\\orient\\core\\index\\hashindex\\local'"
Sanity,0.6,0.0,20,4,0.553472222222,14,0.956907706631,0.478453853315,21,45,4,5,"""['src\\main\\java\\com\\orientechnologies\\orient\\core\\type'"
Sanity,0.6,0.0,20,5,0.622051282051,62,0.96292881249,0.385171524996,21,78,5,5,"""['src\\main\\java\\com\\orientechnologies\\orient\\core\\storage\\impl\\local\\paginated'"
Sanity,0.6,0.0,20,6,1.0,1,0.947823312628,0.495897416734,21,29,2,5,"""['src\\main\\java\\com\\orientechnologies\\common\\log'"
Sanity,0.6,0.0,20,7,0.732723577236,12,0.996136211605,0.257352305399,21,41,6,5,"""['src\\main\\java\\com\\orientechnologies\\orient\\core\\metadata\\schema\\clusterselection'"
Sanity,0.6,0.0,20,8,0.715909090909,2,0.991917301742,0.495958650871,20,11,4,5,"""['src\\main\\java\\com\\orientechnologies\\orient\\core\\storage\\impl\\local\\eh'"
Sanity,0.6,0.0,20,9,1.0,0,0.995812259335,0.458183933594,5,9,3,5,"""['src\\main\\java\\com\\orientechnologies\\orient\\core\\serialization\\serializer\\record'"
Sanity,0.6,0.0,20,10,0.719298245614,6,0.993186306788,0.274698830494,21,19,5,5,"""['src\\main\\java\\com\\orientechnologies\\orient\\core\\storage\\impl\\local\\eh'"
