algorithm,pBug,pValid,times,precision_avg,recall_avg,steps,tests_avg,files_avg,bugged_avg,initials,tests
uniform,0,0,10,0.359761904762,0.157380952381,5.21428571429,6.5,16.0714285714,2.71428571429,1.28571428571,6.5
randomForest,0,0,10,0.190833333333,0.116011904762,3.0,3.85714285714,16.0714285714,2.71428571429,0.857142857143,3.85714285714
0.0,0.6,0.0,10,0.492857142857,0.222619047619,3.64285714286,4.64285714286,16.0714285714,2.71428571429,1.0,4.64285714286
0.1,0.6,0.1,10,0.681428571429,0.337142857143,5.78571428571,7.35714285714,16.0714285714,2.71428571429,1.57142857143,7.35714285714
0.2,0.6,0.2,10,0.592261904762,0.300178571429,5.92857142857,7.5,16.0714285714,2.71428571429,1.57142857143,7.5
uniform,0,0,20,0.362619047619,0.133166666667,11.2857142857,14.1428571429,31.4285714286,4.07142857143,2.85714285714,14.1428571429
randomForest,0,0,20,0.262380952381,0.117214285714,7.71428571429,10.0,31.4285714286,4.07142857143,2.28571428571,10.0
0.0,0.6,0.0,20,0.419285714286,0.142119047619,6.42857142857,8.14285714286,31.4285714286,4.07142857143,1.71428571429,8.14285714286
0.1,0.6,0.1,20,0.661904761905,0.263297619048,10.5714285714,13.7142857143,31.4285714286,4.07142857143,3.14285714286,13.7142857143
0.2,0.6,0.2,20,0.698571428571,0.291797619048,12.9285714286,16.6428571429,31.4285714286,4.07142857143,3.71428571429,16.6428571429
uniform,0,0,30,0.35880952381,0.109492630385,17.7142857143,20.5714285714,47.0,5.14285714286,2.85714285714,20.5714285714
randomForest,0,0,30,0.301071428571,0.114318310658,13.9285714286,16.5,47.0,5.14285714286,2.57142857143,16.5
0.0,0.6,0.0,30,0.4875,0.155327380952,10.1428571429,12.1428571429,47.0,5.14285714286,2.0,12.1428571429
0.1,0.6,0.1,30,0.614166666667,0.22181122449,17.7857142857,20.9285714286,47.0,5.14285714286,3.14285714286,20.9285714286
0.2,0.6,0.2,30,0.601071428571,0.227474489796,18.1428571429,21.5714285714,47.0,5.14285714286,3.42857142857,21.5714285714
uniform,0,0,40,0.366547619048,0.114515306122,20.2142857143,24.5,52.1428571429,5.14285714286,4.28571428571,24.5
randomForest,0,0,40,0.14369047619,0.0566326530612,8.85714285714,11.0,52.1428571429,5.14285714286,2.14285714286,11.0
0.0,0.6,0.0,40,0.346428571429,0.103715986395,9.35714285714,11.5,52.1428571429,5.14285714286,2.14285714286,11.5
0.1,0.6,0.1,40,0.567023809524,0.196583049887,18.1428571429,22.3571428571,52.1428571429,5.14285714286,4.21428571429,22.3571428571
0.2,0.6,0.2,40,0.537142857143,0.196369047619,20.5,25.1428571429,52.1428571429,5.14285714286,4.64285714286,25.1428571429
