0,P,0.7113341003027459
9,11,P,0.05142595737923216
9,43,P,0.012856489343966772
9,19,P,0.012856489343966772
9,31,P,0.012856489331090588
9,27,P,0.012856489331090588
9,25,P,0.012856489331062811
11,44,65,P,0.010799451048291631
9,34,P,0.007618660351155852
9,28,P,0.007618660351155848
2,9,P,0.005423831441457378
9,53,P,0.005423831395312229
9,59,P,0.004212814428310712
9,42,P,0.004212814428310712
9,26,P,0.004212814428310712
9,13,P,0.004212814428310712
9,21,P,0.004212814428180628
9,18,P,0.004212814428180628
9,16,P,0.004212814428180628
9,20,P,0.004212814427410353
1,9,P,0.004212814421453237
6,P,0.003826336109227758
7,9,P,0.003444489814307009
9,33,P,0.003444489780488023
9,22,P,0.003444489780488023
9,63,P,0.00344448978046818
9,55,P,0.00344448978046818
9,50,P,0.00344448978046818
9,37,P,0.00344448978046818
5,9,P,0.0029134234248563455
9,36,P,0.002913423417541313
9,12,P,0.002913423417541313
9,47,P,0.0029134234024969542
9,41,P,0.0029134234024969542
9,40,P,0.0029134233657055696
9,17,P,0.0029134233657055696
9,60,P,0.0029134233643195616
9,56,P,0.0029134233643195616
9,48,P,0.0025243453512874656
9,23,P,0.002524345339582184
9,64,P,0.0025243452442405808
9,61,P,0.0025243452442405808
9,58,P,0.0025243452442405808
9,57,P,0.0025243452442405808
9,52,P,0.0025243452102253995
9,39,P,0.0025243452102253995
9,54,P,0.0022269973301130043
9,38,P,0.0022269971980680334
9,35,P,0.0022269971980680334
9,51,P,0.0022269971978134055
3,P,0.002055325167427185
30,P,0.0020553251674271847
9,49,P,0.0018024484321359428
62,P,0.0012315639767482935
46,P,0.0012315639767482935
10,P,0.0012315639767482935
29,P,7.962542656077344E-4
8,P,7.962542656077343E-4
45,P,7.962542656077343E-4
4,P,7.962542656077343E-4
15,P,7.962542656077343E-4
24,P,5.445191201534604E-4
14,P,5.445191201534604E-4
32,P,2.1830479353080877E-4
