0,P,0.20464089779171377
45,232,P,0.1402740668421186
88,232,P,0.03506851671352404
2,232,P,0.03506851671352404
232,240,P,0.020781343237483128
90,232,P,0.020781343231831492
85,232,P,0.009395500219761205
212,232,P,0.007946915781169099
89,232,P,0.006074558225279581
199,232,P,0.005434504756288938
177,232,P,0.005434504724410573
160,232,P,0.005434504563978628
29,232,P,0.005434504523280181
101,232,P,0.005434504429264007
12,232,P,0.004916520468301196
92,232,P,0.004916520460936448
78,232,P,0.004916520460936448
197,232,P,0.004916520460936448
9,232,P,0.004916520441681234
111,232,P,0.004916520441681234
104,232,P,0.004916520441681234
70,232,P,0.0044887143471847865
139,232,P,0.0044887129539928254
206,232,P,0.004488712243515806
54,232,P,0.004488707913900998
221,232,P,0.004488707913900998
103,232,P,0.004488707913900998
164,232,P,0.00412941713964658
43,232,P,0.004129417103207672
128,232,P,0.0041294170689718385
51,232,P,0.004129417029122275
56,232,P,0.004129416983878714
13,232,P,0.004129416983878714
63,232,P,0.0041294167837085775
184,232,P,0.0041294167837085775
198,232,P,0.0038233884654526773
87,232,P,0.003823387899278996
173,232,P,0.003823387899278996
1,232,P,0.003823387899278996
84,232,P,0.0038233844071723973
67,232,P,0.0038233844071723973
39,232,P,0.0038233844071723973
196,232,P,0.0038233844071723973
180,232,P,0.0038233844071723973
49,232,P,0.0038233843728642143
188,232,P,0.0038233825401767572
131,232,P,0.0038233825401767572
112,232,P,0.0038233825401767572
189,232,P,0.0035595976416200174
171,232,P,0.0035595976416200174
143,232,P,0.0035595976416200174
37,232,P,0.003559597491090461
135,232,P,0.003559597491090461
81,232,P,0.003559597044699594
26,232,P,0.003559597044699594
3,232,P,0.0035595969623630004
106,232,P,0.0035595969623630004
181,232,P,0.003559592378602538
97,232,P,0.003559592214863189
216,232,P,0.003559592214863189
110,232,P,0.003559592214863189
232,236,P,0.0035595649322051007
116,P,0.0033593246758453882
96,232,P,0.003329864420136569
76,232,P,0.003329864420136569
48,232,P,0.0033298644193423413
183,232,P,0.0033298644193423413
207,232,P,0.0033298644191982027
142,232,P,0.0033298644191982027
141,232,P,0.0033298644191982027
36,232,P,0.003329864419080825
163,232,P,0.003329864411229526
91,232,P,0.0033298643765788797
64,232,P,0.0033298643765788797
220,232,P,0.0033298643765788797
182,232,P,0.0033298643765788797
153,232,P,0.0033298643765788797
31,232,P,0.0033298642516052185
159,232,P,0.00312799052492539
42,232,P,0.003127990325555745
218,232,P,0.003127990325555745
5,232,P,0.0031279901917080316
30,232,P,0.0031279901167478794
190,232,P,0.0031279901167478794
127,232,P,0.0031279901167478794
105,232,P,0.0031279901167478794
195,232,P,0.003127989969107179
66,232,P,0.003127989803929539
138,232,P,0.003127989803929539
57,232,P,0.003127989655975129
121,232,P,0.003127989077238724
75,232,P,0.0031279873423385816
167,232,P,0.0029491839858245025
152,232,P,0.0029491839858245025
86,232,P,0.00294918185504651
158,232,P,0.00294918185504651
151,232,P,0.002949180238757893
132,232,P,0.002949180238757893
223,232,P,0.0029491783535939694
192,232,P,0.002949178205763355
179,232,P,0.002949178205763355
137,232,P,0.002949178205763355
80,232,P,0.0029491771019700126
186,232,P,0.0029491676547321825
7,232,P,0.0027897200489812703
149,232,P,0.0027897200489812703
82,232,P,0.0027897177986021928
74,232,P,0.0027897177986021928
162,232,P,0.0027897177986021928
40,232,P,0.002789715500960503
33,232,P,0.002789714392671254
211,232,P,0.002789714392671254
136,232,P,0.002789714392671254
174,232,P,0.0027897128088638337
10,232,P,0.0027897128088638337
11,232,P,0.0027897040122470207
155,232,P,0.0026466368365445944
208,232,P,0.0026466304380532864
59,232,P,0.0026466298638403033
4,232,P,0.0026466298638403033
219,232,P,0.0026466298638403033
172,232,P,0.002646619750874503
119,232,P,0.002646619750874503
230,232,P,0.002646617058238976
55,232,P,0.002646615571454127
117,232,P,0.002646615571454127
168,232,P,0.002646594921883168
147,232,P,0.002646594921883168
187,232,P,0.00251750105505711
62,232,P,0.0025174975258850274
166,232,P,0.0025174959119517383
222,232,P,0.0025174907574635513
77,232,P,0.0025174860973817344
185,232,P,0.0025174860973817344
52,232,P,0.002517460686721934
178,232,P,0.002517460686721934
150,232,P,0.002517460686721934
224,232,P,0.0024003529170624946
122,232,P,0.0024003529170624946
50,232,P,0.002400304718927986
44,232,P,0.002400304718927986
175,232,P,0.002400304718927986
14,232,P,0.0024003043609657536
16,232,P,0.002400299304191409
169,232,P,0.0024002921760375236
209,232,P,0.002400266757841967
120,232,P,0.002400266757841967
32,232,P,0.002293671809560622
99,232,P,0.0022936480522473927
226,232,P,0.00229363669330367
228,232,P,0.0022936264677029436
170,232,P,0.0022936094956612146
79,232,P,0.0022934319929193703
161,232,P,0.0022934319929193703
232,233,P,0.002293242247031592
8,232,P,0.002195811246932973
60,232,P,0.002195781258748817
176,232,P,0.002195776358398001
20,232,P,0.0021957568770418112
6,232,P,0.002195328628069753
165,232,P,0.002195328628069753
23,232,P,0.0021063014429661677
15,232,P,0.0021063014429661677
73,232,P,0.002106197344386202
95,232,P,0.00202365408880732
210,232,P,0.0020234587049553785
102,232,P,0.0020234587049553785
71,232,P,0.0019467311090857152
98,232,P,0.0019467110161668186
100,232,P,0.0018756892725573964
94,232,P,0.0018098028010746676
125,P,3.6722134902510405E-4
235,P,2.4226054117328408E-4
27,P,2.0071768077732736E-4
237,P,1.681601739622794E-4
217,P,1.681601739622794E-4
214,P,1.681601739622794E-4
213,P,1.681601739622794E-4
215,P,1.4228316078392363E-4
72,P,1.2145677790927886E-4
234,P,1.2145677790927886E-4
225,P,1.2145677790927886E-4
46,P,1.0450593083639924E-4
238,P,1.0450593083639924E-4
123,P,9.056940510342686E-5
28,P,7.90054287802887E-5
126,P,7.90054287802887E-5
47,P,6.932989271099597E-5
25,P,6.117233137831496E-5
231,P,6.117233137831496E-5
18,P,6.117233137831496E-5
22,P,5.424620536872867E-5
19,P,5.424620536872867E-5
17,P,5.424620536872867E-5
61,P,4.832772727966723E-5
239,P,4.832772727966723E-5
24,P,3.884229899562516E-5
