1,P,0.9984259359369929
57,P,3.5923486128753505E-4
102,P,3.592348537439238E-4
59,93,P,1.636763841882424E-4
59,94,P,1.636763841860682E-4
59,129,P,1.6367638376313265E-4
6,P,6.393608745174892E-5
103,P,6.393608745174889E-5
59,95,P,4.091909604607174E-5
59,92,P,4.091909604564715E-5
59,63,P,4.0919096043597465E-5
54,P,3.379818844395589E-5
96,P,1.95494025146115E-5
59,112,P,1.726274363676814E-5
52,59,P,1.3408369391910437E-5
101,P,1.2094633792275577E-5
51,59,P,9.27272210321298E-6
59,97,P,4.153456209174591E-6
59,98,P,3.8853889493639435E-6
111,P,1.9730618312669816E-7
104,P,1.6860032754442594E-7
87,P,1.4492124752438081E-7
