0,P,0.73
6,7,P,0.05
2,7,4,P,0.03
2,7,3,P,0.03
2,7,13,P,0.03
26,P,0.02
2,7,40,P,0.02
9,7,P,0.01
8,7,4,P,0.01
8,7,13,P,0.01
5,7,4,P,0.01
5,7,3,P,0.01
5,7,13,P,0.01
39,7,40,P,0.01
39,7,4,P,0.01
39,7,13,P,0.01
12,7,P,0.0
