2,3,P,0.26
0,3,P,0.26
0,4,P,0.17
14,3,P,0.06
14,4,P,0.04
2,4,10,P,0.03
2,10,8,P,0.03
0,10,8,P,0.03
2,4,8,P,0.02
2,4,1,P,0.02
2,10,5,P,0.02
0,10,5,P,0.02
2,9,10,P,0.01
14,10,8,P,0.01
0,7,8,P,0.01
0,7,5,P,0.01
14,10,5,P,0.0
