0,2,P,0.22
24,P,0.13
17,3,P,0.08
1,3,2,P,0.04
0,17,P,0.03
0,84,83,P,0.02
81,3,2,P,0.01
80,3,2,P,0.01
79,3,2,P,0.01
77,3,2,P,0.01
75,3,2,P,0.01
74,3,2,P,0.01
72,3,2,P,0.01
71,3,2,P,0.01
68,3,2,P,0.01
67,3,2,P,0.01
66,3,2,P,0.01
59,3,2,P,0.01
57,3,2,P,0.01
53,3,2,P,0.01
52,2,P,0.01
51,2,P,0.01
48,3,2,P,0.01
47,3,2,P,0.01
46,3,2,P,0.01
43,3,2,P,0.01
41,3,2,P,0.01
40,3,P,0.01
38,3,2,P,0.01
36,3,2,P,0.01
35,3,2,P,0.01
34,3,2,P,0.01
30,3,2,P,0.01
26,P,0.01
18,2,P,0.01
17,52,P,0.01
17,51,P,0.01
17,18,P,0.01
1,50,2,P,0.01
1,49,2,P,0.01
0,40,P,0.01
0,27,P,0.01
0,29,P,0.0
