1,P,0.34
84,5,P,0.03
65,P,0.03
62,P,0.03
61,P,0.03
4,P,0.03
30,P,0.03
3,P,0.03
25,5,P,0.03
25,37,P,0.03
19,P,0.03
12,P,0.03
0,5,P,0.03
25,31,P,0.02
83,5,P,0.01
82,5,P,0.01
68,5,P,0.01
60,P,0.01
59,5,P,0.01
56,5,P,0.01
52,5,P,0.01
48,5,P,0.01
46,5,P,0.01
42,5,P,0.01
32,5,P,0.01
27,P,0.01
25,75,P,0.01
25,54,P,0.01
25,35,P,0.01
25,29,P,0.01
25,28,P,0.01
22,5,P,0.01
20,P,0.01
18,P,0.01
17,P,0.01
16,P,0.01
14,P,0.01
11,5,P,0.01
10,P,0.0
