0,P,0.9981042549455813
14,P,5.65483331432889E-4
11,P,5.65483331432889E-4
6,18,P,1.6362364927221886E-4
2,P,1.373294003902378E-4
7,P,8.228865444233986E-5
10,P,8.228865444233986E-5
3,P,5.3202832615999316E-5
1,18,P,4.090591232166256E-5
16,18,P,4.090591231717597E-5
9,18,P,2.4240540634506952E-5
5,18,P,2.4240540634506952E-5
12,18,P,2.4240540632487093E-5
8,18,P,2.4240540631537353E-5
17,18,P,2.4240540631537353E-5
15,P,1.4586337419021918E-5
4,18,P,1.3404049348853878E-5
13,18,P,1.340404932658136E-5
6,19,20,P,1.6362364922471006E-6
