0,P,0.9988990470724125
25,P,3.5940507970002103E-4
7,30,P,1.637539433874794E-4
10,30,P,1.63753943329414E-4
17,P,6.396638401540958E-5
12,30,P,4.093848578823746E-5
1,30,P,4.093746151833607E-5
28,30,P,4.093746151751272E-5
5,30,P,2.4259843348790487E-5
27,30,P,2.4256612403362423E-5
9,30,P,2.4256612403263394E-5
22,P,1.9558666136165747E-5
23,30,P,1.7270923716989945E-5
26,30,P,1.7270923716929324E-5
29,30,P,1.726824763791538E-5
20,30,P,1.726824763791447E-5
11,30,P,1.3212822476775164E-5
19,30,P,1.32098027438833E-5
2,P,7.888176184979468E-6
21,30,P,7.0913525654096516E-6
4,30,P,7.091352565349147E-6
8,P,5.362295092393782E-6
16,P,5.362295092393782E-6
3,P,3.772586342572825E-6
7,32,33,P,1.6375394324609787E-6
24,P,9.278593916713938E-7
14,P,1.6868021999265424E-7
15,P,1.253292216594525E-7
