0,P,0.8009749120077482
6,P,0.11866294894710576
7,P,0.05006093191697439
9,P,0.02768169302205893
1,4,P,0.002002437286889275
1,5,P,2.966573759140365E-4
10,P,1.7405639675154862E-4
11,P,8.821554853680572E-5
3,8,P,4.785903484363994E-5
4,8,P,8.364140770073419E-6
5,8,P,1.2391319848883617E-6
2,8,P,6.851904223300632E-7
