algo,noise,project,test #,instance,most or all,wasted effort, precision, recall, HS wasted effort
barinel,none,ant,10,0,all,4,0.4253891325796399,0.21269456628981998,0
comp/test prob,00,ant,10,0,all,0,1.0,0.5,0
comp/test prob,05,ant,10,0,all,0,0.7916666666667916,0.395833333333396,0
comp/test prob,10,ant,10,0,all,0,0.6428571428573571,0.32142857142867853,0
comp/test prob,15,ant,10,0,all,0,0.53125,0.265625,0
comp/test prob,20,ant,10,0,all,0,0.444444444444,0.222222222222,0
comp/test prob,30,ant,10,0,all,0,0.318181818182,0.15909090909100004,0
comp/test prob,40,ant,10,0,all,0,0.2307692307697692,0.11538461538488466,0
comp/test prob,50,ant,10,0,all,0,0.16666666666666669,0.08333333333333336,0
comp prob,none,ant,10,0,all,0,0.8843928601433874,0.4421964300716935,0
barinel,none,ant,10,1,all,2,0.5663523853847743,0.30823541499542323,0
comp/test prob,00,ant,10,1,all,0,1.0,0.5,0
comp/test prob,05,ant,10,1,all,0,0.9717362045760811,0.4898236092266083,0
comp/test prob,10,ant,10,1,all,0,0.8852459016394064,0.4576271186440918,0
comp/test prob,15,ant,10,1,all,0,0.7535853976534793,0.40532959326800017,0
comp/test prob,20,ant,10,1,all,0,0.6037735849055199,0.34042553191482966,0
comp/test prob,30,ant,10,1,all,0,0.34146341463439595,0.2103004291846847,0
comp/test prob,40,ant,10,1,all,0,0.17647058823564057,0.11538461538482699,2
comp/test prob,50,ant,10,1,all,0,0.08695652173913042,0.0588235294117647,5
comp prob,none,ant,10,1,all,1,0.9617353767505024,0.4809428582657794,1
barinel,none,ant,10,2,all,4,0.6214912394041369,0.21416063720581477,4
comp/test prob,00,ant,10,2,all,7,1.0,0.25,0
comp/test prob,05,ant,10,2,all,1,0.8967276497873072,0.2621224139710183,1
comp/test prob,10,ant,10,2,all,1,0.7990495587236977,0.272061845079106,1
comp/test prob,15,ant,10,2,all,1,0.715530540086868,0.27813708597781195,1
comp/test prob,20,ant,10,2,all,1,0.6464995678479707,0.2795216741405191,1
comp/test prob,30,ant,10,2,all,1,0.5403909702590973,0.2685808136773549,1
comp/test prob,40,ant,10,2,all,1,0.458026509572916,0.2432221063607973,3
comp/test prob,50,ant,10,2,all,5,0.38461538461539196,0.2083333333333293,6
comp prob,none,ant,10,2,all,3,0.9518193974652244,0.2499135215906652,2
barinel,none,ant,10,3,all,1,0.5542952276891281,0.41503036875086713,1
comp/test prob,00,ant,10,3,all,0,1.0,1.0,0
comp/test prob,05,ant,10,3,all,0,0.9262782401902041,0.9251781472683648,0
comp/test prob,10,ant,10,3,all,0,0.8552036199095192,0.851351351351369,0
comp/test prob,15,ant,10,3,all,0,0.7868675995699099,0.7793176972286234,0
comp/test prob,20,ant,10,3,all,0,0.7213114754095444,0.7096774193545773,0
comp/test prob,30,ant,10,3,all,0,0.5985130111525874,0.5791366906476892,0
comp/test prob,40,ant,10,3,all,0,0.4864864864864864,0.46153846153846145,0
comp/test prob,50,ant,10,3,all,1,0.3846153846153846,0.35714285714285715,1
comp prob,none,ant,10,3,all,0,0.9111912412608902,0.8554973015283324,0
barinel,none,ant,10,4,all,0,0.43839462883252883,0.47253730615953676,0
comp/test prob,00,ant,10,4,all,0,1.0,1.0,0
