0,1,P,0.7018288527063821
1,50,P,0.10397464482700944
1,36,P,0.10397464482700944
1,37,P,0.07402101182113065
54,P,0.0032516545750819912
1,43,P,0.0017371997240241822
1,13,P,0.0017371997240241822
44,P,0.001604966519374032
1,32,P,0.001236737202441628
1,14,P,0.0010294519289802914
1,21,P,7.328813051597113E-4
45,P,7.256250535803753E-4
1,5,P,6.334405719992242E-4
1,38,P,5.692163439292212E-4
1,20,P,5.083436412098173E-4
47,P,3.8977115239373025E-4
53,P,3.897711523937302E-4
22,P,3.897711476752798E-4
33,P,2.3355336570158247E-4
30,P,2.3355336570158247E-4
42,P,2.335533657015824E-4
4,P,2.335533657015824E-4
3,P,1.0326241722048748E-4
51,P,7.373205970172881E-5
52,P,5.448332958237144E-5
48,P,4.1399245382710565E-5
41,P,3.219459975328704E-5
6,P,2.5530661754420997E-5
