4,P,0.74505235705669
1,P,0.21344780019845225
7,P,0.022512072400506955
2,P,0.0033351218924047867
8,9,P,0.0021344780141900155
6,9,P,0.0021344780141896343
6,8,P,0.0021344780141896343
9,10,P,0.002134478014094741
8,13,P,0.002134478014094741
0,6,P,0.0021344780139922856
3,6,P,5.336195035436355E-4
6,11,P,5.33619503332812E-4
9,12,P,5.336195029956339E-4
6,12,P,5.336195029956339E-4
12,13,P,3.1621896505838797E-4
5,8,P,3.1621896501189255E-4
5,12,P,4.6847254068218145E-5
0,10,13,P,2.1344780139871633E-5
10,11,13,P,5.336195032080777E-6
3,10,13,P,5.336195016764533E-6
