algorithm,pBug,pValid,times,precision_avg,recall_avg,steps,tests_avg,files_avg,bugged_avg,initials,tests
uniform,0,0,10,0.50825,0.241808333333,5.85,7.45,11.8,2.8,1.6,7.45
randomForest,0,0,10,0.212666666667,0.0895833333333,1.7,2.2,11.8,2.8,0.5,2.2
0.0,0.6,0.0,10,0.0485,0.0151,0.45,0.55,11.8,2.8,0.1,0.55
0.1,0.6,0.1,10,0.301666666667,0.116883333333,2.6,3.3,11.8,2.8,0.7,3.3
0.2,0.6,0.2,10,0.551,0.249166666667,5.5,7.0,11.8,2.8,1.5,7.0
uniform,0,0,20,0.368916666667,0.166941666667,6.05,8.6,18.2,3.25,2.55,8.6
randomForest,0,0,20,0.285916666667,0.158916666667,4.3,5.85,18.2,3.25,1.55,5.85
0.0,0.6,0.0,20,0.0501666666667,0.0199166666667,0.1,0.3,18.2,3.25,0.2,0.3
0.1,0.6,0.1,20,0.236166666667,0.0860583333333,2.8,3.95,18.2,3.25,1.15,3.95
0.2,0.6,0.2,20,0.503166666667,0.241708333333,7.0,9.95,18.2,3.25,2.95,9.95
uniform,0,0,30,0.305916666667,0.115508333333,6.65,9.2,21.3,3.45,2.55,9.2
randomForest,0,0,30,0.27225,0.143766666667,4.9,6.45,21.3,3.45,1.55,6.45
0.0,0.6,0.0,30,0.0988333333333,0.0375,0.2,0.55,21.3,3.45,0.35,0.55
0.1,0.6,0.1,30,0.314083333333,0.1221,5.15,6.9,21.3,3.45,1.75,6.9
0.2,0.6,0.2,30,0.444958333333,0.206983333333,8.1,11.05,21.3,3.45,2.95,11.05
uniform,0,0,40,0.310666666667,0.118441666667,6.35,10.0,22.15,3.45,3.65,10.0
randomForest,0,0,40,0.2895,0.150733333333,6.7,9.2,22.15,3.45,2.5,9.2
0.0,0.6,0.0,40,0.0,0.0,0.0,0,22.15,3.45,0,0
0.1,0.6,0.1,40,0.308,0.140841666667,5.95,8.5,22.15,3.45,2.55,8.5
0.2,0.6,0.2,40,0.445416666667,0.205716666667,8.05,12.25,22.15,3.45,4.2,12.25
