algorithm,pBug,pValid,times,index,precision_avg,recall_avg,steps,tests_avg,files_avg,bugged_avg,initials,tests
0.1,0.6,0.1,10,11,0.816666666667,0.293333333333,2.0,8.0,12,3,2.0,8.0
0.1,0.6,0.1,10,12,0.83,0.276666666667,5.0,10.0,20,3,2.0,10.0
0.1,0.6,0.1,10,13,0,0,0,0,10,3,0,0
0.1,0.6,0.1,10,14,0,0,0,0,11,6,0,0
0.1,0.6,0.1,10,15,0.816666666667,0.316666666667,3.0,11.0,11,3,2.0,11.0
0.1,0.6,0.1,10,16,0.84,0.323333333333,8.0,11.0,15,3,2.0,11.0
0.1,0.6,0.1,10,17,0.8,0.42,1.0,4.0,5,2,2.0,4.0
0.1,0.6,0.1,10,18,0,0,0,0,8,4,0,0
0.1,0.6,0.1,10,19,0.72,0.36,0.0,11.0,6,2,2.0,11.0
0.2,0.6,0.2,10,0,0,0,0,0,12,2,0,0
0.2,0.6,0.2,10,1,0,0,0,0,16,2,0,0
0.2,0.6,0.2,10,2,0,0,0,0,11,4,0,0
0.2,0.6,0.2,10,3,0.79,0.395,1.0,11.0,6,2,2.0,11.0
0.2,0.6,0.2,10,4,0.7,0.7,7.0,11.0,25,1,2.0,11.0
0.2,0.6,0.2,10,5,0.7,0.7,4.0,11.0,9,1,2.0,11.0
0.2,0.6,0.2,10,6,0,0,0,0,16,3,0,0
0.2,0.6,0.2,10,7,0,0,0,0,13,2,0,0
0.2,0.6,0.2,10,8,0,0,0,0,11,5,0,0
0.2,0.6,0.2,10,9,0,0,0,0,14,3,0,0
0.2,0.6,0.2,10,10,0.7,0.35,1.0,10.0,5,2,2.0,10.0
0.2,0.6,0.2,10,11,0,0,0,0,12,3,0,0
0.2,0.6,0.2,10,12,0,0,0,0,20,3,0,0
0.2,0.6,0.2,10,13,0,0,0,0,10,3,0,0
0.2,0.6,0.2,10,14,0,0,0,0,11,6,0,0
0.2,0.6,0.2,10,15,0,0,0,0,11,3,0,0
0.2,0.6,0.2,10,16,0,0,0,0,15,3,0,0
0.2,0.6,0.2,10,17,0.84,0.46,2.0,4.0,5,2,2.0,4.0
0.2,0.6,0.2,10,18,0,0,0,0,8,4,0,0
0.2,0.6,0.2,10,19,0,0,0,0,6,2,0,0
uniform,0,0,20,0,0,0,0,0,21,2,0,0
uniform,0,0,20,1,0.78,0.39,5.0,21.0,27,2,4.0,21.0
uniform,0,0,20,2,0,0,0,0,18,5,0,0
uniform,0,0,20,3,0.146666666667,0.103333333333,1.0,21.0,12,3,4.0,21.0
uniform,0,0,20,4,0,0,0,0,62,2,0,0
uniform,0,0,20,5,0,0,0,0,15,1,0,0
uniform,0,0,20,6,0,0,0,0,16,3,0,0
uniform,0,0,20,7,0,0,0,0,13,2,0,0
uniform,0,0,20,8,0,0,0,0,20,5,0,0
uniform,0,0,20,9,0,0,0,0,14,3,0,0
uniform,0,0,20,10,0.126666666667,0.0866666666667,3.0,21.0,12,3,4.0,21.0
uniform,0,0,20,11,0,0,0,0,12,3,0,0
uniform,0,0,20,12,0,0,0,0,20,3,0,0
uniform,0,0,20,13,0.225,0.113333333333,4.0,21.0,13,3,4.0,21.0
uniform,0,0,20,14,0.946666666667,0.341666666667,2.0,6.0,11,6,4.0,6.0
uniform,0,0,20,15,0.75,0.195,8.0,15.0,16,4,4.0,15.0
uniform,0,0,20,16,0,0,0,0,27,4,0,0
uniform,0,0,20,17,0.765,0.263333333333,2.0,21.0,8,3,4.0,21.0
uniform,0,0,20,18,0,0,0,0,14,4,0,0
uniform,0,0,20,19,0,0,0,0,13,4,0,0
randomForest,0,0,20,0,0.89,0.445,2.0,21.0,21,2,4.0,21.0
randomForest,0,0,20,1,0.78,0.39,1.0,21.0,27,2,4.0,21.0
randomForest,0,0,20,2,0.95,0.196,0.0,14.0,18,5,4.0,14.0
randomForest,0,0,20,3,0.831666666667,0.556666666667,2.0,21.0,12,3,4.0,21.0
randomForest,0,0,20,4,0,0,0,0,62,2,0,0
randomForest,0,0,20,5,0.88,0.88,2.0,21.0,15,1,4.0,21.0
randomForest,0,0,20,6,0,0,0,0,16,3,0,0
randomForest,0,0,20,7,0.97,0.495,0.0,6.0,13,2,4.0,6.0
randomForest,0,0,20,8,0,0,0,0,20,5,0,0
randomForest,0,0,20,9,0.985,0.33,0.0,6.0,14,3,4.0,6.0
randomForest,0,0,20,10,0,0,0,0,12,3,0,0
randomForest,0,0,20,11,0.98,0.326666666667,0.0,8.0,12,3,4.0,8.0
randomForest,0,0,20,12,0.97,0.323333333333,2.0,10.0,20,3,4.0,10.0
randomForest,0,0,20,13,0,0,0,0,13,3,0,0
randomForest,0,0,20,14,0,0,0,0,11,6,0,0
randomForest,0,0,20,15,0.95,0.24,0.0,15.0,16,4,4.0,15.0
randomForest,0,0,20,16,0.895,0.2325,2.0,17.0,27,4,4.0,17.0
randomForest,0,0,20,17,0.985,0.33,0.0,21.0,8,3,4.0,21.0
randomForest,0,0,20,18,0,0,0,0,14,4,0,0
randomForest,0,0,20,19,0,0,0,0,13,4,0,0
0.0,0.6,0.0,20,0,0.93,0.465,1.0,21.0,21,2,4.0,21.0
0.0,0.6,0.0,20,1,0.9,0.45,2.0,21.0,27,2,4.0,21.0
0.0,0.6,0.0,20,2,0.93,0.192,0.0,14.0,18,5,4.0,14.0
0.0,0.6,0.0,20,3,0.945,0.63,0.0,21.0,12,3,4.0,21.0
0.0,0.6,0.0,20,4,0.8,0.4,0.0,21.0,62,2,4.0,21.0
0.0,0.6,0.0,20,5,0.94,0.94,0.0,21.0,15,1,4.0,21.0
0.0,0.6,0.0,20,6,0.965,0.326666666667,0.0,6.0,16,3,4.0,6.0
0.0,0.6,0.0,20,7,0.97,0.495,0.0,6.0,13,2,4.0,6.0
0.0,0.6,0.0,20,8,0.95,0.2,2.0,16.0,20,5,4.0,16.0
0.0,0.6,0.0,20,9,0.975,0.326666666667,0.0,6.0,14,3,4.0,6.0
0.0,0.6,0.0,20,10,0.93,0.626666666667,1.0,21.0,12,3,4.0,21.0
0.0,0.6,0.0,20,11,0.97,0.323333333333,0.0,8.0,12,3,4.0,8.0
0.0,0.6,0.0,20,12,0.96,0.32,2.0,10.0,20,3,4.0,10.0
0.0,0.6,0.0,20,13,0.945,0.563333333333,2.0,21.0,13,3,4.0,21.0
0.0,0.6,0.0,20,14,0,0,0,0,11,6,0,0
0.0,0.6,0.0,20,15,0.94,0.2375,0.0,15.0,16,4,4.0,15.0
0.0,0.6,0.0,20,16,0.87,0.235,0.0,17.0,27,4,4.0,17.0
0.0,0.6,0.0,20,17,0.975,0.326666666667,0.0,21.0,8,3,4.0,21.0
0.0,0.6,0.0,20,18,0.975,0.2875,2.0,5.0,14,4,3.0,5.0
0.0,0.6,0.0,20,19,0.99,0.5525,11.0,21.0,13,4,4.0,21.0
0.1,0.6,0.1,20,0,0.85,0.425,4.0,21.0,21,2,4.0,21.0
0.1,0.6,0.1,20,1,0.91,0.455,4.0,21.0,27,2,4.0,21.0
0.1,0.6,0.1,20,2,0,0,0,0,18,5,0,0
0.1,0.6,0.1,20,3,0.858333333333,0.586666666667,2.0,21.0,12,3,4.0,21.0
0.1,0.6,0.1,20,4,0.73,0.365,4.0,21.0,62,2,4.0,21.0
0.1,0.6,0.1,20,5,0.81,0.81,5.0,21.0,15,1,4.0,21.0
0.1,0.6,0.1,20,6,0.765,0.276666666667,1.0,6.0,16,3,4.0,6.0
0.1,0.6,0.1,20,7,0.87,0.46,2.0,6.0,13,2,4.0,6.0
0.1,0.6,0.1,20,8,0,0,0,0,20,5,0,0
