algorithm,pBug,pValid,times,index,precision,recall,auc,wasted,tests,files,bugged,bugsIDS,pack
uniform,0,0,10,0,0.42538913258,0.21269456629,0.833333333333,4,11,12,2,5,"""['main\\org\\apache\\tools\\ant\\taskdefs\\condition'"
uniform,0,0,10,1,0.616470829991,0.308235414995,0.875,2,11,16,2,5,"""['main\\org\\apache\\tools\\ant\\taskdefs\\optional'"
uniform,0,0,10,2,0.710267211467,0.214160637206,0.624404761905,4,11,11,4,5,"""['main\\org\\apache\\tools\\ant\\util'"
uniform,0,0,10,3,0.415030368751,0.415030368751,0.666666666667,1,11,6,2,5,"""['main\\org\\apache\\tools\\ant\\launch'"
uniform,0,0,10,4,0.47253730616,0.47253730616,1.0,0,11,25,1,5,"""['main\\org\\apache\\tools\\ant\\launch'"
uniform,0,0,10,5,0.676331235926,0.676331235926,1.0,0,11,9,1,5,"""['main\\org\\apache\\tools\\ant\\taskdefs\\condition'"
uniform,0,0,10,6,0.663605235523,0.221201745174,0.4375,7,6,16,3,5,"""['main\\org\\apache\\tools\\ant\\taskdefs\\optional\\i18n'"
uniform,0,0,10,7,0.643415128399,0.337026972124,0.633333333333,4,6,13,2,5,"""['main\\org\\apache\\tools\\ant\\launch'"
uniform,0,0,10,8,0.832632395982,0.216384866872,0.834761904762,2,11,11,5,5,"""['main\\org\\apache\\tools\\ant'"
uniform,0,0,10,9,0.858087869031,0.312031952518,0.769047619048,3,6,14,3,5,"""['main\\org\\apache\\tools\\ant\\types'"
uniform,0,0,10,10,0.081763524924,0.081763524924,0.541666666667,2,10,5,2,5,"""['main\\org\\apache\\tools\\ant\\taskdefs\\cvslib'"
uniform,0,0,10,11,0.684845732188,0.239152477979,0.500925925926,7,8,12,3,5,"""['main\\org\\apache\\tools\\ant\\taskdefs'"
uniform,0,0,10,12,0.639207224841,0.213069074947,0.500163398693,15,10,20,3,5,"""['main\\org\\apache\\tools\\ant\\util'"
uniform,0,0,10,13,0.829974992771,0.314184945755,1.0,1,11,10,3,5,"""['main\\org\\apache\\tools\\ant\\taskdefs\\optional\\depend'"
uniform,0,0,10,14,1.0,0.333333333333,0.848484848485,0,6,11,6,5,"""['main\\org\\apache\\tools\\ant\\taskdefs\\condition'"
uniform,0,0,10,15,0.666648653758,0.234280496014,0.55101010101,8,11,11,3,5,"""['main\\org\\apache\\tools\\ant\\types'"
uniform,0,0,10,16,0.713141018123,0.274953053027,0.793650793651,4,11,15,3,5,"""['main\\org\\apache\\tools\\ant'"
uniform,0,0,10,17,0.751989391172,0.393899204962,0.683333333333,3,4,5,2,5,"""['main\\org\\apache\\tools\\ant\\taskdefs\\cvslib'"
uniform,0,0,10,18,0.778131888897,0.235387843767,0.6875,3,10,8,4,5,"""['main\\org\\apache\\tools\\ant\\taskdefs\\optional\\i18n'"
uniform,0,0,10,19,0.110124774795,0.110124774795,0.666666666667,1,11,6,2,5,"""['main\\org\\apache\\tools\\ant\\taskdefs\\optional\\junit'"
randomForest,0,0,10,0,0.884392860143,0.442196430072,1.0,0,11,12,2,5,"""['main\\org\\apache\\tools\\ant\\taskdefs\\condition'"
randomForest,0,0,10,1,0.961885716532,0.480942858266,0.791666666667,1,11,16,2,5,"""['main\\org\\apache\\tools\\ant\\taskdefs\\optional'"
randomForest,0,0,10,2,0.974347424801,0.249913521591,0.795833333333,3,11,11,4,5,"""['main\\org\\apache\\tools\\ant\\util'"
randomForest,0,0,10,3,0.855497301528,0.855497301528,1.0,0,11,6,2,5,"""['main\\org\\apache\\tools\\ant\\launch'"
randomForest,0,0,10,4,0.754066359119,0.754066359119,1.0,0,11,25,1,5,"""['main\\org\\apache\\tools\\ant\\launch'"
randomForest,0,0,10,5,0.869719933175,0.869719933175,1.0,0,11,9,1,5,"""['main\\org\\apache\\tools\\ant\\taskdefs\\condition'"
randomForest,0,0,10,6,0.988989704885,0.329663234962,0.4375,7,6,16,3,5,"""['main\\org\\apache\\tools\\ant\\taskdefs\\optional\\i18n'"
randomForest,0,0,10,7,0.993813014065,0.499378678727,0.791666666667,1,6,13,2,5,"""['main\\org\\apache\\tools\\ant\\launch'"
randomForest,0,0,10,8,0.992284439619,0.329950720456,0.938095238095,2,11,11,5,5,"""['main\\org\\apache\\tools\\ant'"
randomForest,0,0,10,9,0.989409314548,0.333068482145,0.769047619048,3,6,14,3,5,"""['main\\org\\apache\\tools\\ant\\types'"
randomForest,0,0,10,10,0.468712568867,0.468712568867,1.0,0,10,5,2,5,"""['main\\org\\apache\\tools\\ant\\taskdefs\\cvslib'"
randomForest,0,0,10,11,0.994627130131,0.333191841282,0.606481481481,7,8,12,3,5,"""['main\\org\\apache\\tools\\ant\\taskdefs'"
randomForest,0,0,10,12,0.993405819634,0.331135273211,0.711274509804,15,10,20,3,5,"""['main\\org\\apache\\tools\\ant\\util'"
randomForest,0,0,10,13,0.925822972097,0.475759420393,1.0,0,11,10,3,5,"""['main\\org\\apache\\tools\\ant\\taskdefs\\optional\\depend'"
randomForest,0,0,10,14,1.0,0.333333333333,0.848484848485,0,6,11,6,5,"""['main\\org\\apache\\tools\\ant\\taskdefs\\condition'"
randomForest,0,0,10,15,0.992023246627,0.332561896106,0.745454545455,8,11,11,3,5,"""['main\\org\\apache\\tools\\ant\\types'"
randomForest,0,0,10,16,0.98890601743,0.332524332572,0.763888888889,2,11,15,3,5,"""['main\\org\\apache\\tools\\ant'"
randomForest,0,0,10,17,0.992167673694,0.498551915647,0.916666666667,1,4,5,2,5,"""['main\\org\\apache\\tools\\ant\\taskdefs\\cvslib'"
randomForest,0,0,10,18,0.990685815642,0.370431468647,0.94375,2,10,8,4,5,"""['main\\org\\apache\\tools\\ant\\taskdefs\\optional\\i18n'"
randomForest,0,0,10,19,0.499461735034,0.499461735034,1.0,0,11,6,2,5,"""['main\\org\\apache\\tools\\ant\\taskdefs\\optional\\junit'"
Sanity,0.6,0.0,10,0,1.0,0,0.978335658515,0.489167829257,11,12,2,5,"""['main\\org\\apache\\tools\\ant\\taskdefs\\condition'"
Sanity,0.6,0.0,10,1,1.0,0,0.991983743276,0.495991871638,11,16,2,5,"""['main\\org\\apache\\tools\\ant\\taskdefs\\optional'"
Sanity,0.6,0.0,10,2,0.795833333333,3,0.973720443704,0.249650377196,11,11,4,5,"""['main\\org\\apache\\tools\\ant\\util'"
Sanity,0.6,0.0,10,3,1.0,0,0.992433124209,0.992433124209,11,6,2,5,"""['main\\org\\apache\\tools\\ant\\launch'"
Sanity,0.6,0.0,10,4,1.0,0,0.984380595934,0.984380595934,11,25,1,5,"""['main\\org\\apache\\tools\\ant\\launch'"
Sanity,0.6,0.0,10,5,1.0,0,0.994870330987,0.994870330987,11,9,1,5,"""['main\\org\\apache\\tools\\ant\\taskdefs\\condition'"
