algorithm,pBug,pValid,times,precision_avg,recall_avg,auc_avg,wasted_avg,tests_avg,files_avg,bugged_avg
uniform,0,0,10,0.628479695764,0.290789189776,0.722372467674,3.55,9.35,11.8,2.8
randomForest,0,0,10,0.905510952379,0.456003065257,0.852990523229,2.6,9.35,11.8,2.8
0.0,0.6,0.0,10,0.987943354705,0.528993761802,0.867712745452,2.55,9.35,11.8,2.8
0.1,0.6,0.1,10,0.873498344056,0.473126606295,0.860768301007,2.55,9.35,11.8,2.8
0.2,0.6,0.2,10,0.769166869382,0.421946257374,0.838860562912,2.55,9.35,11.8,2.8
uniform,0,0,20,0.660101289503,0.297173156108,0.664269596961,4.85,14.9,18.2,3.25
randomForest,0,0,20,0.928233952612,0.426496315799,0.748622771564,4.45,14.9,18.2,3.25
0.0,0.6,0.0,20,0.985421662472,0.467327319713,0.773011660453,4.3,14.9,18.2,3.25
0.1,0.6,0.1,20,0.874081986885,0.418409729898,0.768150549342,4.35,14.9,18.2,3.25
0.2,0.6,0.2,20,0.774398497796,0.377755266275,0.741067216008,4.4,14.9,18.2,3.25
uniform,0,0,30,0.640892108789,0.266881849799,0.611987295928,5.6,17.55,21.3,3.45
randomForest,0,0,30,0.890609149162,0.376141081811,0.708671819738,4.85,17.55,21.3,3.45
0.0,0.6,0.0,30,0.935076887473,0.406324661642,0.715005153071,4.85,17.55,21.3,3.45
0.1,0.6,0.1,30,0.816234034791,0.360798698427,0.704588486405,4.85,17.55,21.3,3.45
0.2,0.6,0.2,30,0.728936407444,0.332485263948,0.677505153071,4.9,17.55,21.3,3.45
uniform,0,0,40,0.646510156321,0.269649822341,0.610255651064,5.65,19.75,22.15,3.45
randomForest,0,0,40,0.87144026643,0.36614998664,0.687456047889,5.15,19.75,22.15,3.45
0.0,0.6,0.0,40,0.935286104659,0.406358626159,0.707331047889,5.0,19.75,22.15,3.45
0.1,0.6,0.1,40,0.818755441837,0.361376735186,0.696914381222,5.0,19.75,22.15,3.45
0.2,0.6,0.2,40,0.733509734432,0.333621441914,0.669831047889,5.05,19.75,22.15,3.45
