algorithm,pBug,pValid,times,index,precision_avg,recall_avg,steps,tests_avg,files_avg,bugged_avg,initials,tests
0.1,0.6,0.1,10,18,0.903333333333,0.3275,8.0,10.0,8,4,2.0,10.0
0.1,0.6,0.1,10,19,0,0,0,0,6,2,0,0
0.2,0.6,0.2,10,0,0.69,0.345,9.0,11.0,12,2,2.0,11.0
0.2,0.6,0.2,10,1,0.79,0.395,9.0,11.0,16,2,2.0,11.0
0.2,0.6,0.2,10,2,0.708333333333,0.2375,9.0,11.0,11,4,2.0,11.0
0.2,0.6,0.2,10,3,0,0,0,0,6,2,0,0
0.2,0.6,0.2,10,4,0,0,0,0,25,1,0,0
0.2,0.6,0.2,10,5,0,0,0,0,9,1,0,0
0.2,0.6,0.2,10,6,0.51,0.206666666667,4.0,6.0,16,3,2.0,6.0
0.2,0.6,0.2,10,7,0.641666666667,0.37,4.0,6.0,13,2,2.0,6.0
0.2,0.6,0.2,10,8,0.856666666667,0.28,9.0,11.0,11,5,2.0,11.0
0.2,0.6,0.2,10,9,0.726666666667,0.293333333333,4.0,6.0,14,3,2.0,6.0
0.2,0.6,0.2,10,10,0,0,0,0,5,2,0,0
0.2,0.6,0.2,10,11,0.695,0.293333333333,6.0,8.0,12,3,2.0,8.0
0.2,0.6,0.2,10,12,0.74,0.246666666667,8.0,10.0,20,3,2.0,10.0
0.2,0.6,0.2,10,13,0.9,0.443333333333,9.0,11.0,10,3,2.0,11.0
0.2,0.6,0.2,10,14,0.903333333333,0.388333333333,4.0,6.0,11,6,2.0,6.0
0.2,0.6,0.2,10,15,0.771666666667,0.296666666667,9.0,11.0,11,3,2.0,11.0
0.2,0.6,0.2,10,16,0.716666666667,0.31,9.0,11.0,15,3,2.0,11.0
0.2,0.6,0.2,10,17,0,0,0,0,5,2,0,0
0.2,0.6,0.2,10,18,0.785,0.2925,8.0,10.0,8,4,2.0,10.0
0.2,0.6,0.2,10,19,0.585,0.585,9.0,11.0,6,2,2.0,11.0
uniform,0,0,20,0,0.59,0.295,17.0,21.0,21,2,4.0,21.0
uniform,0,0,20,1,0,0,0,0,27,2,0,0
uniform,0,0,20,2,0.426666666667,0.118,10.0,14.0,18,5,4.0,14.0
uniform,0,0,20,3,0,0,0,0,12,3,0,0
uniform,0,0,20,4,0.21,0.21,17.0,21.0,62,2,4.0,21.0
uniform,0,0,20,5,0.57,0.57,17.0,21.0,15,1,4.0,21.0
uniform,0,0,20,6,0.51,0.186666666667,2.0,6.0,16,3,4.0,6.0
uniform,0,0,20,7,0.591666666667,0.315,2.0,6.0,13,2,4.0,6.0
uniform,0,0,20,8,0.48,0.12,12.0,16.0,20,5,4.0,16.0
uniform,0,0,20,9,0.688333333333,0.266666666667,2.0,6.0,14,3,4.0,6.0
uniform,0,0,20,10,0,0,0,0,12,3,0,0
uniform,0,0,20,11,0.741666666667,0.27,4.0,8.0,12,3,4.0,8.0
uniform,0,0,20,12,0.63,0.21,6.0,10.0,20,3,4.0,10.0
uniform,0,0,20,13,0,0,0,0,13,3,0,0
uniform,0,0,20,14,0,0,0,0,11,6,0,0
uniform,0,0,20,15,0,0,0,0,16,4,0,0
uniform,0,0,20,16,0.49,0.155,13.0,17.0,27,4,4.0,17.0
uniform,0,0,20,17,0,0,0,0,8,3,0,0
uniform,0,0,20,18,0.615,0.185,2.0,5.0,14,4,3.0,5.0
uniform,0,0,20,19,0.835,0.4375,17.0,21.0,13,4,4.0,21.0
randomForest,0,0,20,0,0,0,0,0,21,2,0,0
randomForest,0,0,20,1,0,0,0,0,27,2,0,0
randomForest,0,0,20,2,0,0,0,0,18,5,0,0
randomForest,0,0,20,3,0,0,0,0,12,3,0,0
randomForest,0,0,20,4,0.58,0.58,17.0,21.0,62,2,4.0,21.0
randomForest,0,0,20,5,0,0,0,0,15,1,0,0
randomForest,0,0,20,6,0.47,0.216666666667,2.0,6.0,16,3,4.0,6.0
randomForest,0,0,20,7,0,0,0,0,13,2,0,0
randomForest,0,0,20,8,0.545,0.18,12.0,16.0,20,5,4.0,16.0
randomForest,0,0,20,9,0,0,0,0,14,3,0,0
randomForest,0,0,20,10,0.515,0.343333333333,17.0,21.0,12,3,4.0,21.0
randomForest,0,0,20,11,0,0,0,0,12,3,0,0
randomForest,0,0,20,12,0,0,0,0,20,3,0,0
randomForest,0,0,20,13,0.87,0.543333333333,17.0,21.0,13,3,4.0,21.0
randomForest,0,0,20,14,0.87,0.39,2.0,6.0,11,6,4.0,6.0
randomForest,0,0,20,15,0,0,0,0,16,4,0,0
randomForest,0,0,20,16,0,0,0,0,27,4,0,0
randomForest,0,0,20,17,0,0,0,0,8,3,0,0
randomForest,0,0,20,18,0.975,0.37,2.0,5.0,14,4,3.0,5.0
randomForest,0,0,20,19,0.893333333333,0.555,17.0,21.0,13,4,4.0,21.0
0.0,0.6,0.0,20,0,0,0,0,0,21,2,0,0
0.0,0.6,0.0,20,1,0,0,0,0,27,2,0,0
0.0,0.6,0.0,20,2,0,0,0,0,18,5,0,0
0.0,0.6,0.0,20,3,0,0,0,0,12,3,0,0
0.0,0.6,0.0,20,4,0,0,0,0,62,2,0,0
0.0,0.6,0.0,20,5,0,0,0,0,15,1,0,0
0.0,0.6,0.0,20,6,0,0,0,0,16,3,0,0
0.0,0.6,0.0,20,7,0,0,0,0,13,2,0,0
0.0,0.6,0.0,20,8,0,0,0,0,20,5,0,0
0.0,0.6,0.0,20,9,0,0,0,0,14,3,0,0
0.0,0.6,0.0,20,10,0,0,0,0,12,3,0,0
0.0,0.6,0.0,20,11,0,0,0,0,12,3,0,0
0.0,0.6,0.0,20,12,0,0,0,0,20,3,0,0
0.0,0.6,0.0,20,13,0,0,0,0,13,3,0,0
0.0,0.6,0.0,20,14,1.00333333333,0.398333333333,2.0,6.0,11,6,4.0,6.0
0.0,0.6,0.0,20,15,0,0,0,0,16,4,0,0
0.0,0.6,0.0,20,16,0,0,0,0,27,4,0,0
0.0,0.6,0.0,20,17,0,0,0,0,8,3,0,0
0.0,0.6,0.0,20,18,0,0,0,0,14,4,0,0
0.0,0.6,0.0,20,19,0,0,0,0,13,4,0,0
0.1,0.6,0.1,20,0,0,0,0,0,21,2,0,0
0.1,0.6,0.1,20,1,0,0,0,0,27,2,0,0
0.1,0.6,0.1,20,2,0.74,0.204,10.0,14.0,18,5,4.0,14.0
0.1,0.6,0.1,20,3,0,0,0,0,12,3,0,0
0.1,0.6,0.1,20,4,0,0,0,0,62,2,0,0
0.1,0.6,0.1,20,5,0,0,0,0,15,1,0,0
0.1,0.6,0.1,20,6,0,0,0,0,16,3,0,0
0.1,0.6,0.1,20,7,0,0,0,0,13,2,0,0
0.1,0.6,0.1,20,8,0.72,0.178,12.0,16.0,20,5,4.0,16.0
0.1,0.6,0.1,20,9,0,0,0,0,14,3,0,0
0.1,0.6,0.1,20,10,0,0,0,0,12,3,0,0
0.1,0.6,0.1,20,11,0,0,0,0,12,3,0,0
0.1,0.6,0.1,20,12,0,0,0,0,20,3,0,0
0.1,0.6,0.1,20,13,0.76,0.46,17.0,21.0,13,3,4.0,21.0
0.1,0.6,0.1,20,14,0.96,0.371666666667,2.0,6.0,11,6,4.0,6.0
0.1,0.6,0.1,20,15,0,0,0,0,16,4,0,0
0.1,0.6,0.1,20,16,0.73,0.2275,13.0,17.0,27,4,4.0,17.0
0.1,0.6,0.1,20,17,0,0,0,0,8,3,0,0
0.1,0.6,0.1,20,18,0.813333333333,0.28,2.0,5.0,14,4,3.0,5.0
0.1,0.6,0.1,20,19,0,0,0,0,13,4,0,0
0.2,0.6,0.2,20,0,0.77,0.385,17.0,21.0,21,2,4.0,21.0
0.2,0.6,0.2,20,1,0,0,0,0,27,2,0,0
0.2,0.6,0.2,20,2,0.581666666667,0.18,10.0,14.0,18,5,4.0,14.0
0.2,0.6,0.2,20,3,0,0,0,0,12,3,0,0
0.2,0.6,0.2,20,4,0.448333333333,0.45,17.0,21.0,62,2,4.0,21.0
0.2,0.6,0.2,20,5,0,0,0,0,15,1,0,0
0.2,0.6,0.2,20,6,0.57,0.223333333333,2.0,6.0,16,3,4.0,6.0
0.2,0.6,0.2,20,7,0.668333333333,0.375,2.0,6.0,13,2,4.0,6.0
0.2,0.6,0.2,20,8,0.54,0.15,12.0,16.0,20,5,4.0,16.0
0.2,0.6,0.2,20,9,0.701666666667,0.283333333333,2.0,6.0,14,3,4.0,6.0
0.2,0.6,0.2,20,10,0.623333333333,0.446666666667,17.0,21.0,12,3,4.0,21.0
0.2,0.6,0.2,20,11,0.705,0.31,4.0,8.0,12,3,4.0,8.0
0.2,0.6,0.2,20,12,0.76,0.253333333333,6.0,10.0,20,3,4.0,10.0
0.2,0.6,0.2,20,13,0.64,0.39,17.0,21.0,13,3,4.0,21.0
0.2,0.6,0.2,20,14,0.913333333333,0.41,2.0,6.0,11,6,4.0,6.0
0.2,0.6,0.2,20,15,0,0,0,0,16,4,0,0
0.2,0.6,0.2,20,16,0.565,0.2,13.0,17.0,27,4,4.0,17.0
0.2,0.6,0.2,20,17,0,0,0,0,8,3,0,0
0.2,0.6,0.2,20,18,0.658333333333,0.25,2.0,5.0,14,4,3.0,5.0
0.2,0.6,0.2,20,19,0.918333333333,0.5275,17.0,21.0,13,4,4.0,21.0
uniform,0,0,30,0,0.075,0.045,27.0,31.0,39,2,4.0,31.0
uniform,0,0,30,1,0,0,0,0,27,2,0,0
uniform,0,0,30,2,0.5,0.12,10.0,14.0,18,5,4.0,14.0
uniform,0,0,30,3,0,0,0,0,15,3,0,0
uniform,0,0,30,4,0.205,0.205,18.0,22.0,68,2,4.0,22.0
uniform,0,0,30,5,0.56,0.22,27.0,31.0,32,3,4.0,31.0
uniform,0,0,30,6,0.505,0.183333333333,2.0,6.0,16,3,4.0,6.0
uniform,0,0,30,7,0.616666666667,0.33,2.0,6.0,13,2,4.0,6.0
uniform,0,0,30,8,0.48,0.116,12.0,16.0,20,5,4.0,16.0
uniform,0,0,30,9,0.708333333333,0.266666666667,2.0,6.0,14,3,4.0,6.0
uniform,0,0,30,10,0,0,0,0,15,3,0,0
uniform,0,0,30,11,0.683333333333,0.246666666667,4.0,8.0,12,3,4.0,8.0
uniform,0,0,30,12,0.63,0.21,6.0,10.0,20,3,4.0,10.0
uniform,0,0,30,13,0.075,0.0375,8.0,12.0,18,4,4.0,12.0
uniform,0,0,30,14,0,0,0,0,11,6,0,0
uniform,0,0,30,15,0,0,0,0,16,4,0,0
uniform,0,0,30,16,0.51,0.155,13.0,17.0,27,4,4.0,17.0
uniform,0,0,30,17,0,0,0,0,9,3,0,0
uniform,0,0,30,18,0.57,0.175,2.0,5.0,14,4,3.0,5.0
uniform,0,0,30,19,0,0,0,0,22,5,0,0
randomForest,0,0,30,0,0,0,0,0,39,2,0,0
randomForest,0,0,30,1,0,0,0,0,27,2,0,0
randomForest,0,0,30,2,0,0,0,0,18,5,0,0
randomForest,0,0,30,3,0,0,0,0,15,3,0,0
randomForest,0,0,30,4,0.595,0.595,18.0,22.0,68,2,4.0,22.0
randomForest,0,0,30,5,0.931666666667,0.51,27.0,31.0,32,3,4.0,31.0
randomForest,0,0,30,6,0.47,0.213333333333,2.0,6.0,16,3,4.0,6.0
randomForest,0,0,30,7,0,0,0,0,13,2,0,0
randomForest,0,0,30,8,0.555,0.182,12.0,16.0,20,5,4.0,16.0
randomForest,0,0,30,9,0,0,0,0,14,3,0,0
randomForest,0,0,30,10,0.5,0.333333333333,27.0,31.0,15,3,4.0,31.0
randomForest,0,0,30,11,0,0,0,0,12,3,0,0
randomForest,0,0,30,12,0,0,0,0,20,3,0,0
randomForest,0,0,30,13,0.515,0.305,8.0,12.0,18,4,4.0,12.0
randomForest,0,0,30,14,0.883333333333,0.366666666667,2.0,6.0,11,6,4.0,6.0
randomForest,0,0,30,15,0,0,0,0,16,4,0,0
randomForest,0,0,30,16,0,0,0,0,27,4,0,0
randomForest,0,0,30,17,0,0,0,0,9,3,0,0
randomForest,0,0,30,18,0.995,0.37,2.0,5.0,14,4,3.0,5.0
randomForest,0,0,30,19,0,0,0,0,22,5,0,0
0.0,0.6,0.0,30,0,0,0,0,0,39,2,0,0
0.0,0.6,0.0,30,1,0,0,0,0,27,2,0,0
0.0,0.6,0.0,30,2,0,0,0,0,18,5,0,0
0.0,0.6,0.0,30,3,0,0,0,0,15,3,0,0
0.0,0.6,0.0,30,4,0,0,0,0,68,2,0,0
0.0,0.6,0.0,30,5,0,0,0,0,32,3,0,0
0.0,0.6,0.0,30,6,0,0,0,0,16,3,0,0
0.0,0.6,0.0,30,7,0,0,0,0,13,2,0,0
0.0,0.6,0.0,30,8,0,0,0,0,20,5,0,0
0.0,0.6,0.0,30,9,0,0,0,0,14,3,0,0
0.0,0.6,0.0,30,10,0,0,0,0,15,3,0,0
0.0,0.6,0.0,30,11,0,0,0,0,12,3,0,0
0.0,0.6,0.0,30,12,0,0,0,0,20,3,0,0
0.0,0.6,0.0,30,13,0,0,0,0,18,4,0,0
0.0,0.6,0.0,30,14,0.986666666667,0.405,2.0,6.0,11,6,4.0,6.0
0.0,0.6,0.0,30,15,0,0,0,0,16,4,0,0
0.0,0.6,0.0,30,16,0,0,0,0,27,4,0,0
0.0,0.6,0.0,30,17,0,0,0,0,9,3,0,0
0.0,0.6,0.0,30,18,0.99,0.345,2.0,5.0,14,4,3.0,5.0
0.0,0.6,0.0,30,19,0,0,0,0,22,5,0,0
0.1,0.6,0.1,30,0,0.31,0.2,27.0,31.0,39,2,4.0,31.0
0.1,0.6,0.1,30,1,0,0,0,0,27,2,0,0
0.1,0.6,0.1,30,2,0.708333333333,0.2,10.0,14.0,18,5,4.0,14.0
0.1,0.6,0.1,30,3,0,0,0,0,15,3,0,0
0.1,0.6,0.1,30,4,0,0,0,0,68,2,0,0
0.1,0.6,0.1,30,5,0.791666666667,0.366666666667,27.0,31.0,32,3,4.0,31.0
0.1,0.6,0.1,30,6,0.72,0.266666666667,2.0,6.0,16,3,4.0,6.0
0.1,0.6,0.1,30,7,0,0,0,0,13,2,0,0
0.1,0.6,0.1,30,8,0.735,0.182,12.0,16.0,20,5,4.0,16.0
0.1,0.6,0.1,30,9,0,0,0,0,14,3,0,0
0.1,0.6,0.1,30,10,0,0,0,0,15,3,0,0
0.1,0.6,0.1,30,11,0,0,0,0,12,3,0,0
0.1,0.6,0.1,30,12,0,0,0,0,20,3,0,0
0.1,0.6,0.1,30,13,0.501666666667,0.305,8.0,12.0,18,4,4.0,12.0
0.1,0.6,0.1,30,14,0.963333333333,0.391666666667,2.0,6.0,11,6,4.0,6.0
0.1,0.6,0.1,30,15,0,0,0,0,16,4,0,0
0.1,0.6,0.1,30,16,0.725,0.225,13.0,17.0,27,4,4.0,17.0
0.1,0.6,0.1,30,17,0,0,0,0,9,3,0,0
0.1,0.6,0.1,30,18,0.826666666667,0.305,2.0,5.0,14,4,3.0,5.0
0.1,0.6,0.1,30,19,0,0,0,0,22,5,0,0
0.2,0.6,0.2,30,0,0.24,0.18,27.0,31.0,39,2,4.0,31.0
0.2,0.6,0.2,30,1,0,0,0,0,27,2,0,0
0.2,0.6,0.2,30,2,0.586666666667,0.19,10.0,14.0,18,5,4.0,14.0
0.2,0.6,0.2,30,3,0,0,0,0,15,3,0,0
0.2,0.6,0.2,30,4,0.443333333333,0.445,18.0,22.0,68,2,4.0,22.0
0.2,0.6,0.2,30,5,0.606666666667,0.286666666667,27.0,31.0,32,3,4.0,31.0
0.2,0.6,0.2,30,6,0.565,0.216666666667,2.0,6.0,16,3,4.0,6.0
0.2,0.6,0.2,30,7,0.6425,0.37,2.0,6.0,13,2,4.0,6.0
0.2,0.6,0.2,30,8,0.56,0.158,12.0,16.0,20,5,4.0,16.0
0.2,0.6,0.2,30,9,0.711666666667,0.29,2.0,6.0,14,3,4.0,6.0
0.2,0.6,0.2,30,10,0.55,0.373333333333,27.0,31.0,15,3,4.0,31.0
0.2,0.6,0.2,30,11,0.723333333333,0.3,4.0,8.0,12,3,4.0,8.0
0.2,0.6,0.2,30,12,0.74,0.246666666667,6.0,10.0,20,3,4.0,10.0
0.2,0.6,0.2,30,13,0.391666666667,0.235,8.0,12.0,18,4,4.0,12.0
0.2,0.6,0.2,30,14,0.91,0.403333333333,2.0,6.0,11,6,4.0,6.0
0.2,0.6,0.2,30,15,0,0,0,0,16,4,0,0
0.2,0.6,0.2,30,16,0.545,0.19,13.0,17.0,27,4,4.0,17.0
0.2,0.6,0.2,30,17,0,0,0,0,9,3,0,0
0.2,0.6,0.2,30,18,0.683333333333,0.255,2.0,5.0,14,4,3.0,5.0
0.2,0.6,0.2,30,19,0,0,0,0,22,5,0,0
uniform,0,0,40,0,0.09,0.06,32.0,38.0,52,2,6.0,38.0
uniform,0,0,40,1,0,0,0,0,27,2,0,0
uniform,0,0,40,2,0.545,0.13,8.0,14.0,18,5,6.0,14.0
uniform,0,0,40,3,0,0,0,0,15,3,0,0
uniform,0,0,40,4,0.21,0.21,16.0,22.0,68,2,6.0,22.0
uniform,0,0,40,5,0.545,0.22,33.0,39.0,32,3,6.0,39.0
uniform,0,0,40,6,0.5,0.18,1.0,6.0,16,3,5.0,6.0
