1,P,0.45992534376970806
0,2,P,0.280554460735406
0,12,P,0.024146080633703566
2,13,P,0.02414608059120895
20,P,0.02345703008961874
18,P,0.02345703008961874
11,P,0.02345703008961874
0,4,P,0.01430878851359308
0,5,P,0.010186627755663234
2,7,P,0.01018662774569161
2,19,P,0.01018662774569161
0,8,P,0.010186627613812569
22,P,0.009895934634274604
21,P,0.009895934634274604
16,P,0.009895934634274604
2,17,P,0.007912187405486517
0,23,P,0.007912187314108319
9,P,0.005472056036964543
10,P,0.005472056036964543
2,6,P,0.004741030371777357
3,P,0.0034751156084373387
25,P,0.0034751156084373387
24,P,0.0024032587623617073
15,P,0.0024032587623617073
12,13,P,0.00207814628458308
14,P,0.0017612637665828464
4,13,P,0.001231493554467156
12,19,P,8.76717963766435E-4
5,13,P,8.687454192482049E-4
8,13,P,8.687454192481896E-4
7,12,P,8.687454192481807E-4
12,17,P,6.809669744239235E-4
13,23,P,6.809669744231518E-4
4,19,P,5.195365711276041E-4
6,12,P,4.080397666646876E-4
4,17,P,4.0353598488402823E-4
8,19,P,3.694109457057436E-4
5,19,P,3.69410945705737E-4
5,17,P,2.8728294228757976E-4
8,17,P,2.872829422875797E-4
7,23,P,2.872829422875797E-4
