18,P,0.18074604863167293
0,1,P,0.12200358428440637
28,P,0.07625223976900845
15,P,0.07625223976900845
12,P,0.07625223976900845
4,P,0.0421644386690774
10,P,0.0421644386690774
0,5,P,0.030500896066857207
0,27,P,0.030500896066857207
0,16,P,0.030500896066857207
1,9,P,0.030500896013178774
3,P,0.02677719269504974
13,P,0.02677719269504974
1,17,P,0.01807460506394314
0,8,P,0.018074605063919325
0,6,P,0.018074605063919325
0,25,P,0.018074605063919325
0,22,P,0.018074605063919325
0,26,P,0.01286756551345084
0,24,P,0.01286756551345084
0,23,P,0.01286756551345084
0,20,P,0.01286756551345084
0,2,P,0.01286756551345084
0,19,P,0.01286756551345084
0,11,P,0.01286756551345084
0,21,P,0.009994533133144287
0,14,P,0.009994533133144287
0,7,P,0.00817175065482568
