4,23,P,0.6114787765796996
12,23,P,0.11026666467075165
23,53,P,0.027566666167614145
23,51,P,0.027566666167614145
9,23,P,0.02756666613036519
13,23,P,0.027565976416972955
21,23,P,0.027565976416545904
23,54,P,0.01633580217307687
5,23,P,0.01633580209219236
6,23,P,0.01633362647961546
14,23,P,0.01633362647961546
22,23,P,0.01633362647954845
23,55,P,0.011629687289516443
19,23,P,0.011629687289165266
15,23,P,0.011627885303452913
8,23,P,0.009033045169825117
16,23,P,0.007385616578709868
20,23,P,0.006246913041424361
52,P,0.0011972890742940597
