algorithm,pBug,pValid,times,index,precision,recall,auc,wasted,tests,files,bugged,bugsIDS,pack
uniform,0,0,10,0,0.798403710019,0.419420236729,0.708333333333,2,11,8,2,5,"""['src\\testcases\\org\\apache'"
uniform,0,0,10,1,0.768869086335,0.768869086335,1.0,0,11,8,2,5,"""['src\\java\\org\\apache\\poi\\ss\\util'"
uniform,0,0,10,2,0.736087923406,0.386931905654,0.708333333333,2,11,11,2,5,"""['src\\scratchpad\\testcases\\org\\apache\\poi'"
uniform,0,0,10,3,0.69254325139,0.69254325139,1.0,0,10,9,2,5,"""['src\\scratchpad\\testcases\\org\\apache\\poi\\hwpf\\usermodel'"
uniform,0,0,10,4,0.843328235531,0.441743361539,0.791666666667,1,7,8,2,5,"""['src\\ooxml\\testcases\\org\\apache\\poi'"
uniform,0,0,10,5,0.675683084102,0.675683084102,1.0,0,11,10,2,5,"""['src\\scratchpad\\testcases'"
uniform,0,0,10,6,0.891584723292,0.467020569418,0.916666666667,1,7,5,2,5,"""['src\\scratchpad\\testcases\\org'"
uniform,0,0,10,7,0.653388723469,0.653388723469,1.0,0,10,9,1,5,"""['src\\java\\org\\apache\\poi\\ss\\util'"
uniform,0,0,10,8,0.105197042723,0.105197042723,0.5375,3,11,17,2,5,"""['src\\ooxml\\testcases\\org\\apache\\poi\\xssf\\extractor'"
uniform,0,0,10,9,0.332513722972,0.332513722972,1.0,0,11,6,1,5,"""['src\\java\\org\\apache\\poi\\poifs\\filesystem'"
uniform,0,0,10,10,0.836570999301,0.30541715585,0.763888888889,1,6,6,3,5,"""['src\\ooxml\\java\\org\\apache\\poi\\xwpf\\extractor'"
uniform,0,0,10,11,0.873119805835,0.873119805835,1.0,0,11,6,1,5,"""['src\\ooxml\\testcases\\org\\apache\\poi\\xssf\\usermodel\\charts'"
uniform,0,0,10,12,0.106295372822,0.106295372822,0.666666666667,1,11,19,2,5,"""['src\\ooxml\\testcases\\org\\apache\\poi\\xslf'"
uniform,0,0,10,13,0.961453720629,0.356688404775,1.0,0,11,8,3,5,"""['src\\java\\org\\apache\\poi\\hssf\\eventusermodel'"
uniform,0,0,10,14,0.581408807059,0.581408807059,1.0,0,11,11,1,5,"""['src\\testcases\\org\\apache\\poi\\ss\\usermodel'"
uniform,0,0,10,15,0.788509273955,0.290282050316,0.763888888889,1,11,11,3,5,"""['src\\ooxml\\testcases\\org\\apache\\poi\\xwpf\\extractor'"
uniform,0,0,10,16,0.319863688358,0.319863688358,1.0,1,11,17,2,5,"""['src\\ooxml\\testcases'"
uniform,0,0,10,17,0.909090908786,0.909090908786,1.0,0,2,3,1,5,"""['src\\java\\org\\apache\\poi\\ss'"
uniform,0,0,10,18,0.536352921022,0.536352921022,1.0,0,11,13,2,5,"""['src'"
uniform,0,0,10,19,0.0979741868055,0.0979741868055,0.5375,3,11,15,2,5,"""['src\\scratchpad\\testcases\\org\\apache\\poi\\hslf\\extractor'"
randomForest,0,0,10,0,0.981894151146,0.493552329379,0.791666666667,2,11,8,2,5,"""['src\\testcases\\org\\apache'"
randomForest,0,0,10,1,0.803038226843,0.803038226843,1.0,0,11,8,2,5,"""['src\\java\\org\\apache\\poi\\ss\\util'"
randomForest,0,0,10,2,0.0309971847147,0.02070191867,0.404761904762,5,11,11,2,5,"""['src\\scratchpad\\testcases\\org\\apache\\poi'"
randomForest,0,0,10,3,0.768404960903,0.768404960903,1.0,0,10,9,2,5,"""['src\\scratchpad\\testcases\\org\\apache\\poi\\hwpf\\usermodel'"
