algorithm,pBug,pValid,times,precision_avg,recall_avg,steps,tests_avg,files_avg,bugged_avg,initials,tests
uniform,0,0,10,0.4355,0.24625,1.6,4.9,10.0,1.9,1.05,4.9
randomForest,0,0,10,0.4895,0.293,1.25,5.4,10.0,1.9,1.15,5.4
0.0,0.6,0.0,10,0.8955,0.554416666667,0.6,9.5,10.0,1.9,1.85,9.5
0.1,0.6,0.1,10,0.59025,0.39625,1.15,7.3,10.0,1.9,1.45,7.3
0.2,0.6,0.2,10,0.467,0.318,1.25,5.65,10.0,1.9,1.15,5.65
uniform,0,0,20,0.283833333333,0.130408333333,1.9,7.4,19.4,2.75,1.6,7.4
randomForest,0,0,20,0.3695,0.237958333333,2.25,8.45,19.4,2.75,1.8,8.45
0.0,0.6,0.0,20,0.833083333333,0.571858333333,0.65,17.65,19.4,2.75,3.6,17.65
0.1,0.6,0.1,20,0.529166666667,0.376041666667,2.1,12.45,19.4,2.75,2.6,12.45
0.2,0.6,0.2,20,0.362083333333,0.289416666667,3.0,8.85,19.4,2.75,1.8,8.85
uniform,0,0,30,0.243833333333,0.0961416666667,1.4,10.15,25.4,3.05,1.4,10.15
randomForest,0,0,30,0.38025,0.237833333333,1.9,13.45,25.4,3.05,1.8,13.45
0.0,0.6,0.0,30,0.870583333333,0.534675,2.9,27.7,25.4,3.05,3.8,27.7
0.1,0.6,0.1,30,0.45325,0.299683333333,2.75,15.75,25.4,3.05,2.2,15.75
0.2,0.6,0.2,30,0.3725,0.292583333333,3.75,13.45,25.4,3.05,1.8,13.45
uniform,0,0,40,0.204,0.08515,0.9,9.5,27.2,3.05,1.75,9.5
randomForest,0,0,40,0.4125,0.296333333333,1.95,17.0,27.2,3.05,3.0,17.0
0.0,0.6,0.0,40,0.88175,0.600216666667,2.95,31.25,27.2,3.05,5.65,31.25
0.1,0.6,0.1,40,0.498833333333,0.349533333333,2.6,19.3,27.2,3.05,3.6,19.3
0.2,0.6,0.2,40,0.334041666667,0.281,3.1,13.35,27.2,3.05,2.4,13.35
