0,P,0.17
232,45,P,0.11
232,88,P,0.03
232,2,P,0.03
58,41,45,P,0.02
232,240,P,0.02
229,45,P,0.02
58,41,88,P,0.01
58,41,2,P,0.01
58,35,45,P,0.01
58,134,45,P,0.01
58,130,45,P,0.01
232,90,P,0.01
232,212,P,0.01
116,P,0.0
