0,1,2,P,0.7
0,9,2,P,0.14
0,10,2,P,0.06
0,11,2,P,0.03
9,3,2,P,0.01
9,2,13,P,0.01
9,2,12,P,0.01
0,1,8,P,0.01
0,1,15,P,0.01
0,9,15,P,0.0
