0,P,0.73
8,2,1,P,0.07
8,6,P,0.05
8,12,1,P,0.03
8,9,1,P,0.02
7,P,0.02
8,13,1,P,0.01
5,6,P,0.01
5,2,1,P,0.01
17,6,P,0.01
17,2,1,P,0.01
17,11,1,P,0.0
