23,P,0.24
21,P,0.13
0,1,2,P,0.13
1,28,P,0.07
1,22,2,P,0.03
0,7,P,0.03
0,11,P,0.03
16,P,0.02
14,P,0.02
1,6,2,P,0.02
1,4,2,P,0.02
1,25,2,P,0.02
1,24,2,P,0.02
1,20,2,P,0.02
0,9,2,P,0.02
0,27,2,P,0.02
0,10,2,P,0.02
0,1,28,P,0.02
0,1,26,P,0.02
1,8,2,P,0.01
1,17,2,P,0.01
1,12,2,P,0.01
1,10,2,P,0.01
0,19,P,0.01
0,15,P,0.01
0,13,P,0.01
0,1,18,P,0.01
0,3,2,P,0.0
