0,1,2,P,0.29
0,8,2,P,0.22
0,10,2,P,0.11
1,2,12,P,0.08
0,1,13,P,0.05
1,9,P,0.04
1,6,P,0.04
1,2,11,P,0.04
1,7,P,0.03
1,5,2,P,0.03
1,2,4,P,0.02
0,1,9,P,0.02
1,3,2,P,0.01
1,13,12,P,0.01
0,1,7,P,0.01
0,1,6,P,0.01
