0,P,0.9828259816605116
17,P,0.015356656029308496
7,P,0.0010263111711231174
6,P,3.3630164445669065E-4
8,P,1.5204609930008413E-4
1,18,P,9.730950369112744E-5
1,28,P,9.730950368970933E-5
9,P,8.167190899590532E-5
1,20,P,1.0263111716344019E-5
1,26,P,6.517751173771959E-6
1,22,P,6.517751173771959E-6
1,21,P,3.11386485925539E-6
