algorithm,pBug,pValid,times,precision_avg,recall_avg,auc_avg,wasted_avg,tests_avg,files_avg,bugged_avg
uniform,0,0,10,0.84239377072,0.395467945663,0.826388888889,1.33333333333,9.5,9.5,2.33333333333
randomForest,0,0,10,0.980989893079,0.491160326146,0.777182539683,2.5,9.5,9.5,2.33333333333
0.0,0.6,0.0,10,0.99383181364,0.485405477867,0.965277777778,0.666666666667,9.5,9.5,2.33333333333
0.1,0.6,0.1,10,0.938809333736,0.474648364484,0.965277777778,0.666666666667,9.5,9.5,2.33333333333
0.2,0.6,0.2,10,0.893429330778,0.464836384123,0.965277777778,0.666666666667,9.5,9.5,2.33333333333
uniform,0,0,20,0.871327257233,0.334373419332,0.755726911977,2.16666666667,15.6666666667,16.0,3.33333333333
randomForest,0,0,20,0.974606550745,0.400125749075,0.729668710919,3.0,15.6666666667,16.0,3.33333333333
0.0,0.6,0.0,20,0.9943098273,0.400242532842,0.869152837903,1.5,15.6666666667,16.0,3.33333333333
0.1,0.6,0.1,20,0.943464513815,0.392064047028,0.869152837903,1.5,15.6666666667,16.0,3.33333333333
0.2,0.6,0.2,20,0.900550386753,0.38405772409,0.869152837903,1.5,15.6666666667,16.0,3.33333333333
uniform,0,0,30,0.88486593652,0.312731105122,0.707259584927,3.66666666667,19.0,17.8333333333,3.83333333333
randomForest,0,0,30,0.954101986653,0.361638929644,0.647636569054,4.66666666667,19.0,17.8333333333,3.83333333333
0.0,0.6,0.0,30,0.994160634985,0.367246781689,0.816634584927,3.16666666667,19.0,17.8333333333,3.83333333333
0.1,0.6,0.1,30,0.941997635775,0.35955842626,0.816634584927,3.16666666667,19.0,17.8333333333,3.83333333333
0.2,0.6,0.2,30,0.898087051567,0.352106297825,0.816634584927,3.16666666667,19.0,17.8333333333,3.83333333333
uniform,0,0,40,0.887085998442,0.313363703412,0.707121003996,3.66666666667,20.0,18.3333333333,3.83333333333
randomForest,0,0,40,0.95411336427,0.361643541537,0.647497988123,4.66666666667,20.0,18.3333333333,3.83333333333
0.0,0.6,0.0,40,0.994191996803,0.367257611582,0.816496003996,3.16666666667,20.0,18.3333333333,3.83333333333
0.1,0.6,0.1,40,0.942303500064,0.359665808995,0.816496003996,3.16666666667,20.0,18.3333333333,3.83333333333
0.2,0.6,0.2,40,0.898610088224,0.352292721156,0.816496003996,3.16666666667,20.0,18.3333333333,3.83333333333
