algorithm,pBug,pValid,times,index,precision,recall,auc,wasted,tests,files,bugged,bugsIDS,pack
uniform,0,0,10,0,0.850761381731,0.453174929081,1.0,1,9,8,2,5,"""['src\\main\\java\\com\\orientechnologies\\orient\\core\\tx'"
uniform,0,0,10,1,0.795755387712,0.289365595613,0.75,1,11,17,3,5,"""['src\\main\\java\\com\\orientechnologies\\orient\\core\\index\\hashindex\\local'"
uniform,0,0,10,2,0.797305192838,0.4202957322,0.708333333333,2,8,7,2,5,"""['src\\main\\java\\com\\orientechnologies\\orient\\core\\serialization\\serializer\\binary'"
uniform,0,0,10,3,0.795597544737,0.416741571119,0.708333333333,2,11,8,2,5,"""['src\\main\\java\\com\\orientechnologies\\common\\concur\\resource'"
uniform,0,0,10,4,1.0,0.363636363738,1.0,0,11,11,3,5,"""['src\\main\\java\\com\\orientechnologies\\orient\\core\\index\\sbtreebonsai\\local'"
uniform,0,0,10,5,0.814943117304,0.429593482227,0.791666666667,2,7,6,2,5,"""['src\\main\\java\\com\\orientechnologies\\orient\\core\\type'"
randomForest,0,0,10,0,0.998950461831,0.499509799828,0.708333333333,3,9,8,2,5,"""['src\\main\\java\\com\\orientechnologies\\orient\\core\\tx'"
randomForest,0,0,10,1,0.988008441149,0.494823465025,1.0,0,11,17,3,5,"""['src\\main\\java\\com\\orientechnologies\\orient\\core\\index\\hashindex\\local'"
randomForest,0,0,10,2,0.995286391573,0.497671479729,0.613095238095,5,8,7,2,5,"""['src\\main\\java\\com\\orientechnologies\\orient\\core\\serialization\\serializer\\binary'"
randomForest,0,0,10,3,0.905556314001,0.455030784655,0.633333333333,4,11,8,2,5,"""['src\\main\\java\\com\\orientechnologies\\common\\concur\\resource'"
randomForest,0,0,10,4,1.0,0.500829187704,1.0,0,11,11,3,5,"""['src\\main\\java\\com\\orientechnologies\\orient\\core\\index\\sbtreebonsai\\local'"
randomForest,0,0,10,5,0.99813774992,0.499097239932,0.708333333333,3,7,6,2,5,"""['src\\main\\java\\com\\orientechnologies\\orient\\core\\type'"
Sanity,0.6,0.0,10,0,1.0,1,0.991516553094,0.499199934402,9,8,2,5,"""['src\\main\\java\\com\\orientechnologies\\orient\\core\\tx'"
Sanity,0.6,0.0,10,1,1.0,0,0.997133438422,0.458309779439,11,17,3,5,"""['src\\main\\java\\com\\orientechnologies\\orient\\core\\index\\hashindex\\local'"
Sanity,0.6,0.0,10,2,1.0,1,0.991342724586,0.498500640931,8,7,2,5,"""['src\\main\\java\\com\\orientechnologies\\orient\\core\\serialization\\serializer\\binary'"
Sanity,0.6,0.0,10,3,0.791666666667,1,0.991609458944,0.498271419677,11,8,2,5,"""['src\\main\\java\\com\\orientechnologies\\common\\concur\\resource'"
Sanity,0.6,0.0,10,4,1.0,0,1.0,0.459627329482,11,11,3,5,"""['src\\main\\java\\com\\orientechnologies\\orient\\core\\index\\sbtreebonsai\\local'"
Sanity,0.6,0.0,10,5,1.0,1,0.991388706797,0.49852376327,7,6,2,5,"""['src\\main\\java\\com\\orientechnologies\\orient\\core\\type'"
Sanity,0.6,0.1,10,0,1.0,1,0.916191222325,0.490806879485,9,8,2,5,"""['src\\main\\java\\com\\orientechnologies\\orient\\core\\tx'"
