2,3,P,0.23
0,7,8,P,0.23
0,4,P,0.23
0,3,P,0.11
14,3,P,0.05
0,7,5,P,0.05
14,4,P,0.03
2,4,13,P,0.02
2,4,12,P,0.02
0,10,5,P,0.0
