0,3,P,0.38
2,3,P,0.32
0,4,P,0.11
2,4,1,P,0.06
14,3,P,0.03
2,4,8,P,0.01
2,4,10,P,0.01
2,10,8,P,0.01
2,10,5,P,0.01
0,7,8,P,0.01
0,7,5,P,0.01
0,10,8,P,0.01
0,10,5,P,0.01
14,10,5,P,0.0
