18,P,0.15
0,2,P,0.15
0,13,P,0.09
13,3,P,0.08
1,3,2,P,0.06
0,60,61,P,0.02
9,3,2,P,0.01
8,3,2,P,0.01
7,2,P,0.01
59,3,2,P,0.01
58,3,2,P,0.01
55,3,2,P,0.01
54,3,2,P,0.01
52,3,2,P,0.01
50,3,2,P,0.01
49,3,2,P,0.01
46,3,2,P,0.01
43,3,2,P,0.01
4,3,2,P,0.01
39,2,P,0.01
36,3,2,P,0.01
35,3,2,P,0.01
34,3,2,P,0.01
32,3,2,P,0.01
31,3,2,P,0.01
30,3,P,0.01
28,3,2,P,0.01
23,3,2,P,0.01
14,2,P,0.01
13,39,P,0.01
13,38,P,0.01
13,37,P,0.01
13,14,P,0.01
1,38,2,P,0.01
1,37,2,P,0.01
0,33,P,0.01
0,30,P,0.01
0,20,P,0.01
0,22,P,0.0
