13,P,0.4725795852294894
0,57,P,0.04725795888324277
0,44,P,0.04725795888320985
0,34,P,0.04725795888320985
0,1,P,0.04725795888258578
0,29,P,0.04725795876046874
5,P,0.03871371480794327
47,P,0.03871371480794327
0,96,P,0.01181448972078826
0,54,P,0.01181448972078826
0,84,P,0.011814489720762893
0,8,P,0.011814489720738878
0,35,P,0.011814489720516979
0,41,P,0.011814489720395194
0,12,P,0.011814489720395194
66,P,0.010372117143434204
0,102,P,0.007001179093645793
0,65,P,0.007001179093645766
0,9,P,0.007001179093645759
0,83,P,0.007001179092501372
0,46,P,0.007001179092501365
0,73,P,0.0070011790925012946
0,82,P,0.004984237850970063
0,99,P,0.004984237848670048
0,89,P,0.004984237830020065
87,P,0.003966361060738158
11,P,0.003966361060738158
0,93,P,0.003871371991714139
0,95,P,0.0038713719916572344
0,64,P,0.003871371990535982
0,10,P,0.003871371990535982
0,48,P,0.0038713719901407886
0,68,P,0.0031653189621607897
0,30,P,0.0026772947170099343
0,32,P,0.0026772947158389916
0,88,P,0.002677294715369861
0,25,P,0.0023197508588886115
0,94,P,0.0023197508586778335
0,104,P,0.0023197508574092727
0,67,P,0.0020465024568293816
0,105,P,0.0020465024566768244
0,31,P,0.002046502444247842
6,P,0.00184601401535916
36,P,0.00184601401535916
0,22,P,0.0018308701444567194
0,91,P,9.935765227050484E-4
97,P,9.758484143775351E-4
0,90,P,7.398387704027221E-4
45,P,5.644460346608724E-4
20,P,5.644460346608724E-4
17,P,5.644460346608724E-4
3,P,3.4920597085373405E-4
103,P,3.4920597085373405E-4
101,P,3.4920597085373405E-4
19,P,2.2764588021087015E-4
18,P,2.2764588021087007E-4
16,P,2.2764588021087007E-4
56,P,1.5475115636778706E-4
21,P,1.5475115636778706E-4
71,P,1.0887354928276532E-4
107,P,5.696782425790159E-6
74,P,4.184282534573877E-6
