72,175,P,0.18402320254611143
152,175,P,0.11026788001063534
136,175,P,0.11026787981218046
124,175,P,0.0870292447212059
80,175,P,0.07088672514536466
138,175,P,0.057004104735340816
112,175,P,0.057004104735340816
134,175,P,0.05009222958105361
143,175,P,0.05009220477626147
146,175,P,0.04981298688388916
61,175,P,0.02442305534821646
2,175,P,0.022241356278529318
175,176,P,0.018489749817666584
128,175,P,0.012811817114355238
131,175,P,0.007828856230204035
0,P,0.005598491751319007
175,184,P,0.005560339069481686
166,P,0.0029473957025803613
164,175,P,0.001822011906108953
74,175,P,0.0012600346533885093
121,175,P,0.0012600346477229405
129,175,P,0.0012399072833258326
11,175,P,0.0010917611882241124
55,175,P,9.631603103974174E-4
142,175,P,9.631603103974174E-4
60,175,P,9.631603090917614E-4
8,175,P,9.631602714464815E-4
44,175,P,8.616756954504647E-4
159,175,P,8.616756861416641E-4
84,175,P,8.616756533331462E-4
76,175,P,8.616756533331462E-4
49,175,P,8.616756533331462E-4
46,175,P,8.616756533331462E-4
150,175,P,8.616756533331462E-4
39,175,P,7.795459681601004E-4
151,175,P,7.795459681601004E-4
88,175,P,7.795459606242435E-4
69,175,P,7.795459606242435E-4
24,175,P,7.795459606242435E-4
51,175,P,7.79545960155829E-4
1,175,P,7.79545960155829E-4
65,175,P,7.117145601925455E-4
96,175,P,7.117142836964385E-4
43,175,P,7.117142027458214E-4
170,175,P,7.117142027458214E-4
141,175,P,7.117142027458214E-4
108,175,P,7.117142027458214E-4
75,175,P,7.117141078851874E-4
57,175,P,7.117141078851874E-4
52,175,P,7.117141078851874E-4
36,175,P,7.117141078851874E-4
139,175,P,7.117141078851874E-4
116,175,P,7.117141078851874E-4
140,175,P,7.117139705958332E-4
144,175,P,6.547456438300656E-4
4,175,P,6.547456305183894E-4
34,175,P,6.547456305183894E-4
127,175,P,6.547456305183894E-4
115,175,P,6.547456305183894E-4
104,175,P,6.547456305183894E-4
92,175,P,6.547455486369648E-4
79,175,P,6.547455486369648E-4
68,175,P,6.547455486369648E-4
66,175,P,6.547455486369648E-4
50,175,P,6.547455486369648E-4
27,175,P,6.547455486369648E-4
101,175,P,6.547455486369648E-4
70,175,P,6.062227138797514E-4
64,175,P,6.062227138797514E-4
38,175,P,6.062227138797514E-4
28,175,P,6.062227138797514E-4
167,175,P,6.062227138797514E-4
123,175,P,6.062227138797514E-4
114,175,P,6.062227138797514E-4
102,175,P,6.062227138797514E-4
9,175,P,6.062227006674248E-4
169,175,P,6.062227006674248E-4
133,175,P,6.062227006674248E-4
33,175,P,6.062226841832985E-4
30,175,P,6.062226841832985E-4
163,175,P,6.062226841832985E-4
105,175,P,6.062226841832985E-4
82,175,P,5.643972297072793E-4
111,175,P,5.643972297072793E-4
12,175,P,5.643971489124938E-4
97,175,P,5.643970765875328E-4
6,175,P,5.643970765875328E-4
53,175,P,5.643970765875328E-4
3,175,P,5.643970765875328E-4
171,175,P,5.643970765875328E-4
168,175,P,5.643970765875328E-4
106,175,P,5.643970765875328E-4
94,175,P,5.643969910239179E-4
73,175,P,5.643969910239179E-4
132,175,P,5.643969910239179E-4
10,175,P,5.643969910239179E-4
37,175,P,5.279714350963875E-4
160,175,P,5.279714350963875E-4
174,175,P,5.279714348073739E-4
126,175,P,5.279714348073739E-4
145,175,P,5.279714268146175E-4
47,175,P,5.279713348708654E-4
137,175,P,5.279713348708654E-4
118,175,P,5.279713348708654E-4
113,175,P,5.279713348708654E-4
95,175,P,4.959629185325075E-4
161,175,P,4.959629185325075E-4
7,175,P,4.959626691193427E-4
45,175,P,4.959626691193427E-4
40,175,P,4.959626691193427E-4
130,175,P,4.959626691193427E-4
18,175,P,4.959624235273413E-4
14,175,P,4.959624235273413E-4
175,178,P,4.959454975487679E-4
67,175,P,4.6761083363121357E-4
21,175,P,4.6761083363121357E-4
13,175,P,4.6761083363121357E-4
122,175,P,4.6761083363121357E-4
29,175,P,4.676103501615031E-4
62,P,4.6416006223234273E-4
91,P,4.455174236559114E-4
78,175,P,4.423297276809493E-4
135,175,P,4.423276397437634E-4
83,175,P,4.423125923947465E-4
81,175,P,4.423125923947465E-4
63,175,P,4.423125923947465E-4
5,175,P,4.423125923947465E-4
162,175,P,4.423125923947465E-4
125,175,P,4.423125923947465E-4
77,175,P,3.991671758546512E-4
99,P,4.732029302561793E-5
180,P,4.732029302561793E-5
25,P,3.6799170614937486E-5
165,P,3.6799170614937486E-5
181,P,2.9182135669112486E-5
179,P,2.353178351088852E-5
172,P,2.353178351088852E-5
41,P,1.9251821819618904E-5
26,P,1.9251821819618904E-5
182,P,1.9251821819618904E-5
98,P,1.75455693627346E-5
42,P,1.5950517602486006E-5
100,P,1.5950517602486006E-5
23,P,1.3363256313219752E-5
20,P,1.1306876662943571E-5
17,P,1.1306876662943571E-5
16,P,1.1306876662943571E-5
15,P,1.1306876662943571E-5
177,P,9.651857606567255E-6
54,P,8.304817407786943E-6
183,P,8.304817407786943E-6
22,P,7.197317569405065E-6
