0,P,0.44617728842892684
2,3,P,0.2721681474980162
1,3,P,0.27216814747276
2,7,P,0.004461772909603675
1,4,7,P,0.0027216814747210685
3,8,P,6.610033928337058E-4
2,8,P,6.610033928337057E-4
1,4,8,P,4.0321203522670915E-4
4,8,P,2.788608068609152E-4
2,6,P,1.4277495610963382E-4
3,9,P,1.3134623388759238E-4
1,6,P,1.679882126677178E-5
1,5,7,P,3.6525044180157628E-6
1,7,9,P,1.3058113773221748E-6
4,7,9,P,1.304454334227177E-6
1,5,8,P,5.414922187116677E-7
5,8,P,3.7449634901842166E-7
7,9,P,2.345866114640396E-7
1,8,9,P,1.8963123823615843E-7
6,8,P,1.5951010878590673E-7
8,9,P,1.4573840605829593E-7
4,6,9,P,4.1675126477401204E-8
6,9,P,1.2676764625755593E-8
