0,1,P,0.55
0,65,52,P,0.11
0,65,86,P,0.07
0,43,P,0.07
0,40,P,0.05
0,48,P,0.04
0,61,65,P,0.02
0,54,65,P,0.02
16,61,P,0.01
0,60,65,P,0.01
0,47,65,P,0.01
0,38,65,P,0.01
0,20,65,P,0.01
0,11,65,P,0.0
