0,2,1,P,0.22
0,79,P,0.1
0,99,1,P,0.02
0,95,1,P,0.02
0,94,1,P,0.02
0,76,1,P,0.02
0,37,1,P,0.02
0,2,91,P,0.02
0,2,70,P,0.02
0,2,55,P,0.02
0,19,1,P,0.02
0,103,P,0.02
79,4,P,0.01
79,17,P,0.01
79,16,P,0.01
79,14,P,0.01
79,13,P,0.01
79,12,P,0.01
79,116,P,0.01
79,115,P,0.01
79,11,P,0.01
0,81,1,P,0.01
0,80,P,0.01
0,77,1,P,0.01
0,75,1,P,0.01
0,72,1,P,0.01
0,44,1,P,0.01
0,38,1,P,0.01
0,2,98,P,0.01
0,2,88,P,0.01
0,2,65,P,0.01
0,2,61,P,0.01
0,2,60,P,0.01
0,2,56,P,0.01
0,2,53,P,0.01
0,2,26,P,0.01
0,2,111,P,0.01
0,18,1,P,0.01
0,109,1,P,0.01
0,100,1,P,0.01
0,100,104,P,0.0
